,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmycWT_1,CPM.LPmycWT_2,CPM.LPmycWT_3,CPM.LPmycWT_4,CPM.LPmycpho2_1,CPM.LPmycpho2_2,CPM.LPmycpho2_3,CPM.LPmycpho2_4
53494,AGIS_Os12g002310, 2.930315e-01,-1.494151e-01, 2.297133e-01,6.397716e-01,8.142376e-01,Not_significant,1.181610e+00,5.549919e-01,6.478364e-01,5.520900e-01,1.855192e+00,6.454151e-01,1.055530e+00,4.020536e-01
53495,AGIS_Os12g002320, 1.443231e-01, 3.285755e+00, 6.146977e-01,4.472038e-01,6.833143e-01,Not_significant,8.507589e+00,1.007310e+01,7.823870e+00,1.016766e+01,1.022618e+01,1.381850e+01,7.548036e+00,9.528669e+00
53496,AGIS_Os12g002330,-5.047200e-01,-2.505131e-01, 5.485350e-01,4.722035e-01,7.034365e-01,Not_significant,5.514178e-01,6.937398e-01,1.511618e+00,1.035169e+00,9.502205e-01,5.295713e-01,6.572169e-01,4.623616e-01
53497,AGIS_Os12g002340,-2.010955e-01,-1.955899e+00, 2.057206e-02,8.881705e-01,9.516036e-01,Not_significant,3.938699e-02,1.664976e-01,2.657790e-01,5.060825e-01,3.167402e-01,6.619642e-02,2.389880e-01,1.608214e-01
53498,AGIS_Os12g002350, 5.562009e-02, 2.195680e+00, 5.121785e-02,8.245094e-01,9.206702e-01,Not_significant,4.608277e+00,4.967177e+00,5.448470e+00,2.875469e+00,5.656074e+00,4.865437e+00,4.520856e+00,3.377250e+00
53499,AGIS_Os12g002360, 4.006481e-01, 6.303141e-01, 7.107683e-01,4.145714e-01,6.565640e-01,Not_significant,8.468202e-01,8.602374e-01,9.634489e-01,2.438397e+00,8.370990e-01,2.796799e+00,1.035614e+00,2.251500e+00
53500,AGIS_Os12g002370,-9.183699e-01, 1.089252e+00, 5.616796e+00,3.410031e-02,1.602702e-01,Not_significant,2.993411e+00,2.747210e+00,2.358789e+00,2.691439e+00,1.312209e+00,8.605534e-01,1.911904e+00,1.849446e+00
53501,AGIS_Os12g002380, 1.494930e-02, 3.815776e-01, 8.111921e-04,9.777148e-01,9.911814e-01,Not_significant,2.382913e+00,1.054485e+00,7.308923e-01,1.081176e+00,9.275962e-01,1.075692e+00,1.453843e+00,1.387085e+00
53502,AGIS_Os12g002390,-8.268891e-01,-2.410135e-01, 1.500555e+00,2.425166e-01,4.948067e-01,Not_significant,7.877397e-01,1.387480e+00,7.475035e-01,1.196195e+00,9.954691e-01,4.302767e-01,4.779759e-01,4.824643e-01
53503,AGIS_Os12g002400,-1.365081e+00,-5.665751e-01, 2.846105e+00,1.156483e-01,3.276770e-01,Not_significant,1.161916e+00,6.104910e-01,9.302266e-01,7.821274e-01,4.977345e-01,9.929462e-02,2.987350e-01,7.035937e-01
53504,AGIS_Os12g002410, 3.382043e-01, 6.816870e+00, 5.900641e+00,3.053667e-02,1.500536e-01,Not_significant,9.706923e+01,1.098329e+02,1.123581e+02,7.954696e+01,1.457005e+02,1.201961e+02,1.297904e+02,1.071071e+02
53505,AGIS_Os12g002420,-2.913750e-01,-3.459970e-01, 1.444608e-01,7.100797e-01,8.564985e-01,Not_significant,7.680462e-01,1.082234e+00,6.478364e-01,4.370712e-01,6.787289e-01,1.621812e+00,1.194940e-01,6.030803e-01
53507,AGIS_Os12g002440,-2.497656e-02, 3.186665e+00, 1.899511e-02,8.925118e-01,9.540099e-01,Not_significant,1.092989e+01,1.023960e+01,7.308923e+00,8.120323e+00,1.036193e+01,1.024390e+01,8.245085e+00,7.076143e+00
53510,AGIS_Os12g002470, 1.329739e+00,-1.617178e-01, 3.946208e+00,6.867712e-02,2.418842e-01,Not_significant,1.024062e+00,1.942471e-01,5.315580e-01,3.450562e-01,1.493204e+00,1.357027e+00,8.962049e-01,9.448259e-01
53511,AGIS_Os12g002480,-2.731966e-02, 3.126538e+00, 2.266305e-02,8.826686e-01,9.497813e-01,Not_significant,9.866440e+00,8.019632e+00,1.014944e+01,7.154166e+00,9.117592e+00,7.927021e+00,9.659097e+00,7.639018e+00
53515,AGIS_Os12g002520, 2.214253e-01, 3.321665e+00, 1.111267e+00,3.111809e-01,5.653162e-01,Not_significant,6.853336e+00,1.060034e+01,1.021588e+01,9.063477e+00,1.190038e+01,1.216359e+01,7.687446e+00,1.117709e+01
53516,AGIS_Os12g002530, 2.271983e-02,-3.799475e-01, 9.781213e-04,9.755297e-01,9.903175e-01,Not_significant,3.150959e-01,6.104910e-01,1.096338e+00,9.201499e-01,9.049719e-01,3.971785e-01,7.368795e-01,8.443125e-01
53518,AGIS_Os12g002550,-7.195830e-01, 2.482893e-01, 1.425331e+00,2.540533e-01,5.067664e-01,Not_significant,1.220997e+00,1.054485e+00,1.760786e+00,1.334217e+00,7.466018e-01,1.903147e+00,3.783976e-01,7.437991e-01
