GeneID	WTHPmock_1	WTHPmock_2	WTHPmock_3	WTHPmock_4	WTHPmyc_1	WTHPmyc_2	WTHPmyc_3	WTHPmyc_4
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	218	294	205	400	292	237	249	267
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	535	723	858	817	1040	713	626	767
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	10	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	0	24	26	22	46	2	0	23
AGIS_Os01g003920	754	457	619	741	1259	505	469	599
AGIS_Os01g003930	5978	3377	2574	3886	5983	3039	1564	3617
AGIS_Os01g003940	1151	1186	1338	1428	1332	1002	816	1068
AGIS_Os01g003950	22	68	52	90	116	40	64	18
AGIS_Os01g003960	213	524	361	574	424	487	419	512
AGIS_Os01g003970	80	194	170	237	154	211	163	188
AGIS_Os01g003980	8	73	23	159	124	64	56	87
AGIS_Os01g003990	30	29	0	29	19	46	0	16
AGIS_Os01g004000	28	207	164	328	217	159	227	198
AGIS_Os01g004010	463	500	419	638	781	404	387	413
AGIS_Os01g004020	314	184	131	144	170	67	40	68
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	0	32	36	14	26	6	4	12
AGIS_Os01g004050	592	362	193	560	486	232	251	380
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	0
AGIS_Os01g004080	42	20	36	52	12	18	26	32
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	40	0	0	18	9	8	6	0
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	36	24	12	14	10	26	3	4
AGIS_Os01g004130	852	561	501	836	1033	674	359	559
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	26	0	0	0	0	8	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	0	6	0	2	22	12	14	4
AGIS_Os01g004190	0	0	6	1	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	26	0	0	0	0	0	0	0
AGIS_Os01g004220	28	12	0	1	10	0	0	14
AGIS_Os01g004230	0	6	16	0	0	0	0	1
AGIS_Os01g004240	1	0	0	0	12	6	1	6
AGIS_Os01g004250	5	6	10	0	12	0	0	4
AGIS_Os01g004260	566	1929	1007	2604	1485	1671	1617	1942
AGIS_Os01g004270	28	101	52	210	126	202	136	181
AGIS_Os01g004280	0	26	0	4	0	4	3	34
AGIS_Os01g004290	0	10	0	16	0	0	0	0
AGIS_Os01g004300	0	15	0	6	0	2	1	4
AGIS_Os01g004310	571	1178	595	1626	700	1004	1213	1601
AGIS_Os01g004320	0	4	0	4	0	0	0	6
AGIS_Os01g004330	13128	13002	10915	12656	13733	7635	6786	7965
AGIS_Os01g004340	868	2737	1047	4275	1504	2427	3754	3200
AGIS_Os01g004350	36	154	44	499	102	102	274	119
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	138	1283	568	1694	365	1365	1220	1128
AGIS_Os01g004380	993	1304	949	1241	1346	976	941	1212
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	2435	1879	1576	1803	2739	1033	1215	1851
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	7	0	0	0	0	2	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	0	17	0	30	12	28	41	6
AGIS_Os01g004460	3476	2600	1953	2417	3790	2004	1535	2981
AGIS_Os01g004470	6	155	37	353	38	210	279	268
AGIS_Os01g004480	2576	2337	2470	2311	3225	1850	1243	1667
AGIS_Os01g004490	0	28	30	69	48	12	60	33
AGIS_Os01g004500	5498	4481	4049	4718	9177	3683	5454	5102
AGIS_Os01g004510	122	305	165	437	157	260	364	420
AGIS_Os01g004520	5384	3816	3279	4020	5570	2693	2134	3538
AGIS_Os01g004530	50	69	47	191	36	72	79	144
AGIS_Os01g004540	993	890	801	738	1028	564	476	724
AGIS_Os01g004550	0	26	17	32	23	42	28	18
AGIS_Os01g004560	21	4	30	22	8	44	0	12
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	16	0	0	32	12	12	10	0
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	3223	2658	2189	3384	5653	2272	2025	3562
AGIS_Os01g004630	374	535	400	815	509	388	623	611
AGIS_Os01g004640	2517	2908	1539	3123	3834	1841	1493	3225
AGIS_Os01g004650	1817	1273	1069	1639	2160	736	680	1220
AGIS_Os01g004660	67	242	124	189	261	181	98	245
AGIS_Os01g004670	11	60	52	70	90	51	70	44
AGIS_Os01g004680	26	33	45	116	130	40	20	74
