,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
915,AGIS_Os01g009150, 1.200491e-02, 4.8557031373, 6.235284e-03,9.389000e-01,0.985609998,Not_significant,3.701032e+01,2.381915e+01,2.963258e+01,2.512638e+01,3.567990e+01,2.639924e+01,2.655809e+01,2.712091e+01
916,AGIS_Os01g009160,-1.268307e-01,-0.2481007730, 3.436561e-02,8.573052e-01,0.965011002,Not_significant,1.049482e+00,1.026973e+00,6.275136e-01,6.559667e-01,5.574984e-01,9.457673e-01,1.003052e+00,5.928068e-01
917,AGIS_Os01g009170, 6.189683e-01,-1.1554760769, 3.358862e-01,5.773386e-01,0.871281697,Not_significant,1.285081e-01,3.312817e-01,2.091712e-01,5.133652e-01,8.802606e-02,6.168048e-01,9.346623e-01,4.940057e-01
921,AGIS_Os01g009210,-2.121848e-01, 5.0680555243, 1.130114e+00,3.171923e-01,0.754358431,Not_significant,6.778800e+01,2.544243e+01,3.070168e+01,2.427077e+01,4.207646e+01,2.535068e+01,2.202155e+01,3.043075e+01
922,AGIS_Os01g009220, 4.707117e-02, 1.6359723123, 1.539007e-02,9.041716e-01,0.975659891,Not_significant,1.927621e+00,2.898715e+00,2.440330e+00,4.891230e+00,1.789863e+00,3.988671e+00,3.966615e+00,2.667631e+00
931,AGIS_Os01g009310, 3.053446e-01, 1.9289407718, 8.139078e-01,3.919630e-01,0.792951018,Not_significant,2.270309e+00,4.406047e+00,2.254401e+00,4.363605e+00,1.863218e+00,4.584915e+00,4.924074e+00,5.499930e+00
932,AGIS_Os01g009320, 1.264448e+00, 0.6202024002, 1.138186e+00,3.195324e-01,0.755817672,Not_significant,0.000000e+00,1.159486e+00,1.301510e+00,1.896599e+00,2.039270e+00,1.788734e+00,2.712800e+00,1.103279e+00
934,AGIS_Os01g009340,-3.120630e-01, 5.8693521806, 2.972899e+00,1.209561e-01,0.625468156,Not_significant,6.416835e+01,6.138650e+01,8.308744e+01,5.026701e+01,6.518330e+01,5.697220e+01,4.557048e+01,4.075547e+01
935,AGIS_Os01g009350,-4.931858e-01, 2.5403317980, 3.597095e+00,9.251272e-02,0.606222261,Not_significant,1.282939e+01,3.511586e+00,5.391968e+00,5.532937e+00,8.303791e+00,2.878422e+00,2.940767e+00,4.857722e+00
936,AGIS_Os01g009360, 7.793934e-02, 4.7582338092, 2.601298e-01,6.230871e-01,0.889358013,Not_significant,2.591579e+01,2.560808e+01,2.995796e+01,2.378592e+01,3.054504e+01,2.685157e+01,2.799427e+01,2.555656e+01
937,AGIS_Os01g009370, 2.487720e-01, 1.4483846672, 5.034179e-01,4.971154e-01,0.839663571,Not_significant,2.184637e+00,2.352100e+00,3.346739e+00,2.053461e+00,2.904860e+00,3.310186e+00,2.598817e+00,2.799365e+00
938,AGIS_Os01g009380, 5.927506e-01, 0.9273333917, 1.862035e+00,2.076277e-01,0.687577596,Not_significant,1.584933e+00,1.325127e+00,1.859299e+00,1.040991e+00,2.523414e+00,1.130809e+00,3.214326e+00,2.255959e+00
939,AGIS_Os01g009390, 1.179228e+00,-1.5992141679, 1.006579e+00,3.435925e-01,0.767380525,Not_significant,1.499261e-01,8.282042e-02,4.648249e-01,9.982102e-02,2.347362e-01,5.140040e-01,6.155093e-01,2.305360e-01
940,AGIS_Os01g009400,-3.493965e-01, 2.0248952359, 8.673491e-01,3.775369e-01,0.785729276,Not_significant,4.476364e+00,4.787020e+00,4.601766e+00,3.565036e+00,6.044456e+00,3.207385e+00,1.732545e+00,3.836777e+00
941,AGIS_Os01g009410, 3.157129e-02, 0.2603948494, 2.312730e-03,9.627614e-01,0.990969475,Not_significant,1.777695e+00,8.944606e-01,4.648249e-01,1.511575e+00,5.281563e-01,1.028008e+00,1.003052e+00,2.074824e+00
