GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g001970	80	68	72	45	52	42	107	81
AGIS_Os01g001980	603	473	701	492	614	489	1082	579
AGIS_Os01g001990	119	166	134	188	90	36	88	117
AGIS_Os01g002000	206	195	285	258	281	170	216	179
AGIS_Os01g002010	1059	1872	1710	1392	1408	1348	1663	1046
AGIS_Os01g002020	2486	2187	4194	2751	4140	3588	5497	4185
AGIS_Os01g002030	101	204	317	142	44	90	52	74
AGIS_Os01g002040	910	1693	1714	1197	1262	1169	1341	889
AGIS_Os01g002050	481	870	907	668	645	521	607	520
AGIS_Os01g002060	1163	1373	1589	1214	958	822	1423	795
AGIS_Os01g002070	30	115	247	154	473	302	327	535
AGIS_Os01g002080	330	668	1136	660	1155	1061	1318	1314
AGIS_Os01g002090	339	717	753	553	337	337	613	404
AGIS_Os01g002100	0	0	0	0	0	0	0	4
AGIS_Os01g002110	0	0	0	0	12	14	14	45
AGIS_Os01g002120	8	20	0	14	0	0	18	6
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	0	1	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	19	0	0	36	0
AGIS_Os01g002260	8	0	0	10	0	0	0	4
AGIS_Os01g002270	97	168	114	202	88	24	227	182
AGIS_Os01g002280	2294	4313	7058	4977	3006	672	5913	4779
AGIS_Os01g002290	1371	2797	4648	2822	1708	392	3537	4799
AGIS_Os01g002300	0	12	0	4	0	0	0	0
AGIS_Os01g002310	15	0	17	0	0	0	16	18
AGIS_Os01g002320	890	1765	193	2410	191	73	554	136
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	18	0	40	4
