ID,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTLPmock_1,CPM.WTLPmock_2,CPM.WTLPmock_3,CPM.WTLPmock_4,CPM.WTLPmyc_1,CPM.WTLPmyc_2,CPM.WTLPmyc_3,CPM.WTLPmyc_4
4648,AGIS_Os01g046480,-1.634438e-01, 5.4171723294, 8.873362e-01,3.667907e-01,6.017295e-01,Not_significant,3.848965e+01,4.412936e+01,4.295777e+01,5.509563e+01,4.456415e+01,4.189710e+01,3.648371e+01,3.753067e+01
4649,AGIS_Os01g046490,-6.054078e-01, 5.3036508265, 9.956963e+00,9.347629e-03,5.745459e-02,Not_significant,4.066449e+01,4.240106e+01,4.465939e+01,6.112304e+01,4.089366e+01,2.547879e+01,2.260085e+01,3.743139e+01
4650,AGIS_Os01g046500,-5.959888e-01, 6.5247727308, 1.498788e+01,2.689706e-03,2.354149e-02,Not_significant,1.142551e+02,8.906527e+01,1.093208e+02,1.318390e+02,7.690771e+01,7.108521e+01,7.080623e+01,7.262880e+01
4651,AGIS_Os01g046510,-3.348792e+00,-0.2764154245, 5.868381e+00,3.423241e-02,1.395691e-01,Not_significant,1.062132e+00,2.650066e+00,3.210596e-01,1.018717e+00,0.000000e+00,6.080856e-01,0.000000e+00,2.482187e-01
4655,AGIS_Os01g046550,-1.454573e+00, 4.5958124128, 3.327469e+01,1.354426e-04,2.594697e-03,DOWN,3.838849e+01,4.516635e+01,2.690479e+01,2.967014e+01,1.947523e+01,9.790178e+00,1.479861e+01,8.489081e+00
4656,AGIS_Os01g046560,-1.275072e+00, 1.6547887609, 4.385940e+00,6.065000e-02,2.022184e-01,Not_significant,6.423371e+00,5.453759e+00,3.660079e+00,1.740309e+00,1.425017e+00,1.824257e+00,9.523859e-01,3.028269e+00
4658,AGIS_Os01g046580, 6.182029e-01, 5.9147070609, 1.080038e+01,7.421029e-03,4.890408e-02,Not_significant,6.064269e+01,3.767703e+01,4.257250e+01,5.046895e+01,6.015297e+01,7.789576e+01,7.117253e+01,8.141575e+01
4659,AGIS_Os01g046590,-1.421889e-01, 1.9351712971, 9.841918e-02,7.597100e-01,8.824131e-01,Not_significant,4.906039e+00,4.916065e+00,2.343735e+00,3.565511e+00,3.325039e+00,3.891748e+00,4.688669e+00,2.283612e+00
4660,AGIS_Os01g046600,-1.486380e+00, 0.1428662343, 1.476519e+00,2.502125e-01,4.849355e-01,Not_significant,4.046218e-01,1.805118e+00,7.705430e-01,2.504347e+00,1.381834e+00,1.216171e-01,1.465209e-01,9.432312e-01
4661,AGIS_Os01g046610,-7.659852e-01, 1.7532162886, 1.850673e+00,2.014169e-01,4.237731e-01,Not_significant,2.781775e+00,4.378370e+00,3.660079e+00,5.305819e+00,2.634122e+00,3.040428e+00,3.626392e+00,7.943000e-01
4662,AGIS_Os01g046620, 6.067397e-01, 1.0068287665, 8.226122e-01,3.842044e-01,6.174886e-01,Not_significant,2.731197e+00,1.267423e+00,7.063310e-01,1.697862e+00,2.590939e+00,2.128300e+00,2.783897e+00,1.538956e+00
4665,AGIS_Os01g046650,-3.333999e-02, 3.3827995563, 6.366894e-03,9.380580e-01,9.731372e-01,Not_significant,1.082363e+01,1.229016e+01,1.178289e+01,5.560499e+00,6.995536e+00,7.236219e+00,9.304078e+00,1.876534e+01
4666,AGIS_Os01g046660,-4.635231e-01, 0.7201963534, 3.804375e-01,5.501481e-01,7.487208e-01,Not_significant,1.820798e+00,9.217621e-01,3.435337e+00,1.230950e+00,9.500111e-01,8.513198e-01,1.318688e+00,1.886462e+00
4667,AGIS_Os01g046670, 8.142412e-02, 6.6075986746, 2.538464e-01,6.244966e-01,8.001300e-01,Not_significant,1.025211e+02,8.299700e+01,9.500153e+01,9.745729e+01,1.038535e+02,1.168741e+02,9.534848e+01,8.543689e+01
4668,AGIS_Os01g046680,-5.948657e-02, 3.4337534374, 5.532499e-02,8.184432e-01,9.157467e-01,Not_significant,1.163288e+01,9.755316e+00,1.008127e+01,1.192748e+01,8.377370e+00,8.513198e+00,1.172167e+01,1.375132e+01
4674,AGIS_Os01g046740, 3.230720e-01, 1.6253604868, 3.778473e-01,5.514860e-01,7.496148e-01,Not_significant,2.023109e+00,3.264574e+00,2.215311e+00,2.716579e+00,2.331845e+00,1.641831e+00,4.945081e+00,4.815444e+00
