GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g002910	10906	8783	8978	7642	6131	6513	8268	6867
AGIS_Os01g002920	151	161	148	151	159	117	218	141
AGIS_Os01g002930	0	5	6	0	0	0	19	6
AGIS_Os01g002940	1729	725	888	1247	2929	1538	1868	1795
AGIS_Os01g002950	0	2	14	0	0	2	0	4
AGIS_Os01g002960	11	4	20	20	0	0	0	22
AGIS_Os01g002970	0	0	0	0	0	0	0	0
AGIS_Os01g002980	238	205	248	101	218	132	154	208
AGIS_Os01g002990	134	202	109	123	111	113	229	154
AGIS_Os01g003000	4117	2738	2493	2793	1931	1850	2138	3027
AGIS_Os01g003010	83	20	63	13	10	30	64	17
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	143	216	165	283	178	144	217	261
AGIS_Os01g003050	223	136	66	136	65	106	124	275
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2895	3775	3789	3879	2493	2695	4121	3554
AGIS_Os01g003080	333	558	529	623	349	367	428	445
AGIS_Os01g003090	18	23	32	33	10	4	22	29
AGIS_Os01g003100	8	8	1	12	6	6	0	25
AGIS_Os01g003110	149	92	58	126	122	139	97	213
AGIS_Os01g003120	30	73	53	105	44	60	24	77
AGIS_Os01g003130	1797	1449	1255	1445	1176	1347	1823	2012
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1436	1733	1185	1250	1992	658	893	1432
AGIS_Os01g003160	59	48	38	70	44	67	24	58
AGIS_Os01g003170	1745	1489	1606	1835	760	1405	2260	2516
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	0	2	4
AGIS_Os01g003210	14	24	37	47	6	32	0	10
AGIS_Os01g003220	888	450	466	589	293	285	1140	324
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	1675	983	1029	896	967	547	1612	898
AGIS_Os01g003250	9	0	0	1	0	0	0	0
AGIS_Os01g003260	89	13	12	36	1	25	24	8
AGIS_Os01g003270	2	9	3	0	6	8	0	0
AGIS_Os01g003280	144	156	127	127	18	69	280	66
AGIS_Os01g003290	1058	1197	1374	918	1276	987	829	1177
AGIS_Os01g003300	834	490	421	545	533	540	776	707
AGIS_Os01g003310	0	0	8	6	71	6	4	14
AGIS_Os01g003320	429	531	389	392	790	463	755	701
AGIS_Os01g003330	0	47	27	38	30	25	14	34
AGIS_Os01g003340	0	4	0	0	0	0	0	0
AGIS_Os01g003350	24	44	22	4	19	14	6	13
AGIS_Os01g003360	2	39	52	23	46	48	8	20
AGIS_Os01g003370	89	58	19	60	11	29	38	14
AGIS_Os01g003380	0	0	0	0	1	0	0	0
AGIS_Os01g003390	3	9	16	4	10	6	26	0
AGIS_Os01g003400	0	2	0	0	0	6	0	1
AGIS_Os01g003410	0	0	0	0	0	2	0	0
AGIS_Os01g003420	5	5	8	14	2	7	4	0
AGIS_Os01g003430	0	0	0	0	0	0	0	0
AGIS_Os01g003440	40	47	62	41	59	66	10	35
AGIS_Os01g003450	1426	1160	1222	894	1301	665	1620	1305
AGIS_Os01g003460	46	84	36	134	33	125	34	56
AGIS_Os01g003470	24	23	17	55	18	31	52	34
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	1305	1027	1185	421	2283	461	694	575
AGIS_Os01g003500	5996	6514	8001	6655	4920	3866	5473	3740
AGIS_Os01g003510	85	59	75	49	16	89	112	65
AGIS_Os01g003520	7045	5940	6246	6609	5997	5451	8329	10709
AGIS_Os01g003530	37	55	63	49	54	42	48	70
AGIS_Os01g003540	232	175	70	91	121	141	251	95
