,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
13649,AGIS_Os03g016510,-2.218484e-01, 7.099774e-01, 3.224021e-01,5.825169e-01,0.7729270350,Not_significant,1.357667e+00,1.383404e+00,1.639899e+00,2.386547e+00,2.005666e+00,7.318307e-01,1.779338e+00,1.513510e+00
13650,AGIS_Os03g016520, 9.085993e-01, 3.782469e+00, 2.346196e+01,6.506122e-04,0.0162236508,Not_significant,8.813331e+00,1.032492e+01,8.079502e+00,1.062727e+01,2.225334e+01,1.855191e+01,1.831871e+01,1.281754e+01
13653,AGIS_Os03g016550,-4.879452e-01, 7.736954e+00, 1.272476e+01,5.006954e-03,0.0550675161,Not_significant,2.780917e+02,2.214459e+02,2.339056e+02,2.636421e+02,1.608353e+02,1.862509e+02,1.874575e+02,1.747316e+02
13654,AGIS_Os03g016560,-1.037707e-02, 5.994014e+00, 6.638292e-03,9.366489e-01,0.9726007134,Not_significant,7.639754e+01,5.606160e+01,6.263614e+01,6.064278e+01,6.941036e+01,6.976176e+01,6.207348e+01,5.261024e+01
13655,AGIS_Os03g016570,-6.242163e-01, 5.842765e+00, 2.078605e+01,1.006087e-03,0.0210180232,Not_significant,7.938901e+01,6.351849e+01,6.263614e+01,7.286108e+01,3.829866e+01,4.524543e+01,4.743207e+01,4.945710e+01
13657,AGIS_Os03g016590, 1.572033e-01, 5.228798e+00, 1.405975e+00,2.627592e-01,0.5131302179,Not_significant,3.320532e+01,3.499000e+01,4.223740e+01,3.118830e+01,3.712869e+01,4.813616e+01,3.750167e+01,3.529947e+01
13658,AGIS_Os03g016600, 6.079758e-01, 5.099875e+00, 2.728191e+01,3.704431e-04,0.0114190489,Not_significant,2.561159e+01,3.033366e+01,2.805827e+01,2.417144e+01,3.832254e+01,4.852038e+01,4.519519e+01,3.381749e+01
13659,AGIS_Os03g016610,-5.161231e-02, 3.101985e+00, 7.778901e-02,7.859201e-01,0.8946887957,Not_significant,8.376116e+00,9.717569e+00,8.919450e+00,7.710383e+00,7.855524e+00,7.025575e+00,8.913636e+00,9.853582e+00
13660,AGIS_Os03g016620,-9.461096e-03, 3.551175e+00, 3.410348e-03,9.545659e-01,0.9804498721,Not_significant,1.348463e+01,9.869407e+00,1.179927e+01,1.183075e+01,1.088790e+01,1.300829e+01,1.120136e+01,1.139862e+01
13661,AGIS_Os03g016630, 3.593629e-01, 7.264194e+00, 8.875935e+00,1.362169e-02,0.0986652303,Not_significant,1.521968e+02,1.400443e+02,1.142930e+02,1.312397e+02,1.833274e+02,2.032843e+02,1.464988e+02,1.586033e+02
13663,AGIS_Os03g016650, 1.753379e-01, 3.448167e+00, 1.217457e+00,2.953490e-01,0.5442716982,Not_significant,1.005594e+01,9.413895e+00,1.075934e+01,1.036210e+01,1.239215e+01,1.024563e+01,1.442111e+01,9.364844e+00
13664,AGIS_Os03g016660, 4.209196e-01, 1.439044e+00, 1.777550e+00,2.116185e-01,0.4575226709,Not_significant,2.899425e+00,2.176331e+00,1.759891e+00,2.223364e+00,2.316066e+00,2.415041e+00,3.236701e+00,4.335576e+00
13665,AGIS_Os03g016670, 4.842186e-01, 5.391133e+00, 9.545740e+00,1.127253e-02,0.0890474749,Not_significant,3.267606e+01,3.156523e+01,3.269798e+01,4.293745e+01,5.035654e+01,4.766047e+01,5.744720e+01,4.007649e+01
13666,AGIS_Os03g016680, 4.634428e-01,-2.019838e-01, 7.480992e-01,4.070691e-01,0.6439464991,Not_significant,1.012498e+00,3.542864e-01,3.599778e-01,1.142279e+00,1.241603e+00,9.330842e-01,3.728137e-01,1.261258e+00
