GeneID	pho2mycLP_1	pho2mycLP_2	pho2mycLP_3	pho2mycLP_4	pho2mycHP_1	pho2mycHP_2	pho2mycHP_3	pho2mycHP_4
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	2	20	0	8	2	0	0	4
AGIS_Os01g002410	269	419	353	472	277	664	646	541
AGIS_Os01g002420	132	249	163	210	167	252	242	204
AGIS_Os01g002430	701	914	953	1008	836	1050	1324	1244
AGIS_Os01g002440	1394	1810	1503	1549	1273	1591	1771	2315
AGIS_Os01g002450	74	124	168	254	387	202	301	197
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	0	0	0	1	0	0	0
AGIS_Os01g002480	56	2	13	30	16	30	31	36
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	1038	841	925	1207	906	1176	3154	1052
AGIS_Os01g002540	817	793	408	651	2902	1896	1918	980
AGIS_Os01g002550	629	639	804	993	3585	3619	3354	2266
AGIS_Os01g002560	604	748	754	576	589	723	883	899
AGIS_Os01g002570	8	82	41	12	14	14	36	27
AGIS_Os01g002580	0	6	0	0	0	0	12	12
AGIS_Os01g002590	1139	2008	4094	3064	1546	4320	8297	2254
AGIS_Os01g002600	661	1524	966	916	960	1036	1456	1352
AGIS_Os01g002610	476	761	481	662	342	332	438	517
AGIS_Os01g002620	56	30	54	46	490	361	235	353
AGIS_Os01g002630	1145	1742	1267	1418	439	899	804	1417
AGIS_Os01g002640	1438	2012	1688	1683	1508	2074	2329	2378
AGIS_Os01g002650	96	185	195	219	202	153	187	165
AGIS_Os01g002660	1876	2533	2464	2250	2165	2588	3481	3206
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	183	217	122	158	95	127	122	202
AGIS_Os01g002720	1704	2189	1880	1654	1281	1134	1378	2250
AGIS_Os01g002730	0	2	0	8	4	0	4	4
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	111	158	85	106	158	84	88	115
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	108	242	50	33	276	172	310	133
AGIS_Os01g002790	0	8	10	1	4	34	10	0
AGIS_Os01g002800	1718	1767	1333	1270	2338	2617	2255	2842
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	93	390	249	226	239	398	687	409
AGIS_Os01g002830	78	384	219	290	277	241	591	182
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	6	37	32	7	53	6	45	40
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	777	1348	962	1146	930	1447	1309	1430
AGIS_Os01g002910	7383	7710	7450	7128	7083	9100	10211	10240
AGIS_Os01g002920	208	256	171	186	212	157	167	343
AGIS_Os01g002930	0	1	1	12	1	0	7	0
AGIS_Os01g002940	236	252	299	1086	2444	783	1007	2329
AGIS_Os01g002950	8	0	0	8	2	0	4	0
AGIS_Os01g002960	14	0	26	20	14	12	10	0
AGIS_Os01g002970	0	0	0	0	0	0	0	12
AGIS_Os01g002980	49	233	132	207	148	142	190	198
AGIS_Os01g002990	109	150	127	208	120	159	128	151
AGIS_Os01g003000	1531	1957	1872	1809	1849	1933	2190	2349
AGIS_Os01g003010	10	32	25	36	27	36	4	24
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	90	175	78	90	177	222	236	201
AGIS_Os01g003050	35	85	120	178	77	141	94	120
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	4547	5443	4847	4581	3278	4927	5073	5203
AGIS_Os01g003080	748	1024	682	612	355	468	457	674
AGIS_Os01g003090	17	3	1	9	9	14	7	6
AGIS_Os01g003100	0	0	0	6	0	12	6	8
AGIS_Os01g003110	46	76	17	106	84	132	138	70
AGIS_Os01g003120	89	140	161	66	101	149	99	196
AGIS_Os01g003130	1748	2097	2078	2103	993	1882	2195	2160
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	974	2084	1088	1481	1848	2023	1770	2012
AGIS_Os01g003160	10	30	22	10	10	31	26	17
AGIS_Os01g003170	1209	1591	1466	1506	1269	2097	2403	2037
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	3	0	0
AGIS_Os01g003210	21	91	73	136	37	56	59	78
AGIS_Os01g003220	264	1479	517	549	678	1857	1717	1353
AGIS_Os01g003230	0	13	0	2	0	0	0	0
AGIS_Os01g003240	423	478	377	429	1074	976	974	1303
AGIS_Os01g003250	23	80	30	67	0	0	1	4
AGIS_Os01g003260	12	14	28	2	30	24	9	16
AGIS_Os01g003270	6	6	0	0	2	0	0	8
AGIS_Os01g003280	394	584	445	410	242	661	588	476
AGIS_Os01g003290	808	1217	957	949	1137	969	1002	1487
AGIS_Os01g003300	365	668	589	557	534	609	638	627
AGIS_Os01g003310	6	10	2	19	0	16	36	10
AGIS_Os01g003320	389	621	582	445	476	383	595	711
AGIS_Os01g003330	18	66	67	24	11	36	7	34
AGIS_Os01g003340	0	0	0	0	0	12	6	0
AGIS_Os01g003350	6	16	48	10	8	12	30	18
AGIS_Os01g003360	37	119	52	34	38	33	10	21
AGIS_Os01g003370	47	40	30	36	18	48	45	40
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	67	43	36	22	8	24	21	22
AGIS_Os01g003400	0	2	8	0	0	20	6	8
AGIS_Os01g003410	0	2	0	1	0	10	0	0
AGIS_Os01g003420	0	12	14	4	0	0	4	13
AGIS_Os01g003430	0	0	30	2	0	0	11	0
AGIS_Os01g003440	65	234	136	162	122	163	175	128
AGIS_Os01g003450	590	641	670	496	1155	930	908	1243
AGIS_Os01g003460	36	91	34	54	53	72	82	66
AGIS_Os01g003470	30	66	32	43	4	46	52	12
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	960	800	715	775	1260	872	668	1203
AGIS_Os01g003500	5226	4351	6512	4075	3052	4654	5635	6007
AGIS_Os01g003510	20	87	58	94	20	101	77	43
AGIS_Os01g003520	4979	5582	5525	5968	6487	6876	8217	7796
AGIS_Os01g003530	41	77	26	4	38	70	19	89
AGIS_Os01g003540	153	106	115	82	134	146	122	147
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	74	58	23	29	92	85	95	48
AGIS_Os01g003570	0	0	0	0	0	1	0	0
AGIS_Os01g003580	251	404	300	402	166	335	612	222
AGIS_Os01g003590	103	164	179	207	117	218	445	234
AGIS_Os01g003600	2434	3163	2890	3415	2886	4774	4860	4501
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	0	0	0	0	7	0	0	0
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
