GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g002290	6500	1814	3996	3619	1558	3147	5672	2361
AGIS_Os01g002300	0	4	58	20	162	16	0	226
AGIS_Os01g002310	0	6	9	0	1	0	4	16
AGIS_Os01g002320	1131	591	2095	402	863	410	341	634
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	14	8	1	0	2	0	0	4
AGIS_Os01g002410	805	578	530	790	277	664	646	541
AGIS_Os01g002420	306	132	177	207	167	252	242	204
AGIS_Os01g002430	2798	1766	1455	2197	836	1050	1324	1244
AGIS_Os01g002440	925	1545	1598	1910	1273	1591	1771	2315
AGIS_Os01g002450	48	59	38	121	387	202	301	197
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	0	0	0	1	0	0	0
AGIS_Os01g002480	0	25	28	38	16	30	31	36
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	4412	4387	2007	2872	906	1176	3154	1052
AGIS_Os01g002540	2470	2543	1777	1098	2902	1896	1918	980
AGIS_Os01g002550	1827	1538	510	489	3585	3619	3354	2266
AGIS_Os01g002560	618	478	649	619	589	723	883	899
AGIS_Os01g002570	62	62	34	39	14	14	36	27
AGIS_Os01g002580	0	0	0	12	0	0	12	12
AGIS_Os01g002590	5364	3779	3384	4189	1546	4320	8297	2254
AGIS_Os01g002600	504	195	375	421	960	1036	1456	1352
AGIS_Os01g002610	111	261	113	253	342	332	438	517
AGIS_Os01g002620	414	204	288	268	490	361	235	353
AGIS_Os01g002630	99	137	127	181	439	899	804	1417
AGIS_Os01g002640	195	370	339	360	1508	2074	2329	2378
AGIS_Os01g002650	361	160	169	150	202	153	187	165
AGIS_Os01g002660	3876	2834	2696	3287	2165	2588	3481	3206
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	32	102	129	79	95	127	122	202
AGIS_Os01g002720	341	1082	1607	1460	1281	1134	1378	2250
AGIS_Os01g002730	0	0	1	0	4	0	4	4
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	362	146	124	109	158	84	88	115
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	726	408	309	470	276	172	310	133
AGIS_Os01g002790	58	26	16	40	4	34	10	0
AGIS_Os01g002800	7795	4149	3058	5231	2338	2617	2255	2842
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	518	216	267	278	239	398	687	409
AGIS_Os01g002830	1042	495	244	703	277	241	591	182
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	364	20	66	59	53	6	45	40
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
