,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmycWT_1,CPM.HPmycWT_2,CPM.HPmycWT_3,CPM.HPmycWT_4,CPM.HPmycpho2_1,CPM.HPmycpho2_2,CPM.HPmycpho2_3,CPM.HPmycpho2_4
31578,AGIS_Os06g040160, 5.769191e-01, 3.6569849771,4.989954e+00,5.709727e-02,0.2427445903,Not_significant,1.090405e+01,1.525782e+01,5.913933e+00,8.723887e+00,1.936598e+01,1.776891e+01,1.202054e+01,1.034404e+01
31580,AGIS_Os06g040180, 2.913440e-01, 6.4145960403,2.658220e+00,1.430279e-01,0.4019907288,Not_significant,8.611836e+01,7.343384e+01,6.695940e+01,7.999361e+01,8.692931e+01,1.023589e+02,1.032444e+02,8.275232e+01
31582,AGIS_Os06g040200,-1.447028e+00, 1.1049070063,4.390788e+00,7.082590e-02,0.2743085885,Not_significant,8.777253e-01,4.595192e+00,3.030279e+00,2.070075e+00,1.087976e-01,1.167910e+00,4.045749e+00,6.579248e-01
31585,AGIS_Os06g040230, 3.298635e-01, 4.5201478156,1.716873e+00,2.278794e-01,0.5046590933,Not_significant,3.517653e+01,1.597164e+01,1.559128e+01,1.641274e+01,2.861378e+01,2.515177e+01,2.835914e+01,1.761777e+01
31586,AGIS_Os06g040240, 1.010938e-02,-0.2790295612,1.608817e-04,9.902012e-01,0.9958007877,Not_significant,1.552899e+00,8.030432e-01,4.398793e-01,3.696562e-01,5.439881e-01,6.673769e-01,7.780286e-01,7.310276e-01
31590,AGIS_Os06g040280, 4.482522e-02,-0.3303677311,2.212314e-03,9.636775e-01,0.9832052886,Not_significant,7.426906e-01,5.353622e-01,2.932529e-01,1.035037e+00,5.983870e-01,1.209621e+00,1.556057e-01,1.096541e+00
31591,AGIS_Os06g040290,-1.800224e-01, 5.3479518134,8.548882e-01,3.832012e-01,0.6419036277,Not_significant,5.441897e+01,3.836762e+01,4.022452e+01,4.021860e+01,3.454325e+01,3.845759e+01,4.353070e+01,3.538174e+01
31592,AGIS_Os06g040300,-2.832834e-01, 5.0204294349,1.925820e+00,2.040054e-01,0.4799291396,Not_significant,4.267095e+01,3.640463e+01,3.088930e+01,3.197527e+01,2.534985e+01,3.616349e+01,3.080993e+01,2.470873e+01
31593,AGIS_Os06g040310, 7.777748e-01, 5.0461254199,2.769475e+00,1.361711e-01,0.3927833891,Not_significant,6.853009e+00,3.649385e+01,3.665661e+01,2.528449e+01,4.645659e+01,3.057420e+01,4.193574e+01,3.947549e+01
31596,AGIS_Os06g040340, 6.387867e-01, 3.9101161684,2.084800e+00,1.882502e-01,0.4607919049,Not_significant,3.173315e+00,1.677468e+01,2.433999e+01,8.982647e+00,1.332771e+01,1.589191e+01,1.699992e+01,2.017636e+01
31597,AGIS_Os06g040350,-5.602218e-01, 4.4056248589,3.737092e+00,9.075538e-02,0.3162019464,Not_significant,3.048408e+01,1.588241e+01,2.717476e+01,2.665222e+01,2.350029e+01,1.985446e+01,1.318758e+01,1.217161e+01
