,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
2871,AGIS_Os01g028710, 3.948492e-01, 5.1696625406,6.732313e+00,3.446527e-02,1.460779e-01,Not_significant,2.683391e+01,3.505625e+01,3.202948e+01,3.038636e+01,3.896599e+01,4.209741e+01,3.836085e+01,4.352382e+01
2872,AGIS_Os01g028720,-1.011284e-01, 4.0139854953,2.495369e-01,6.321200e-01,7.873769e-01,Not_significant,1.871374e+01,1.407590e+01,1.498738e+01,1.831086e+01,1.661861e+01,1.047673e+01,1.783162e+01,1.756712e+01
2875,AGIS_Os01g028750, 1.125680e-01, 5.4167005090,6.257514e-01,4.538743e-01,6.554717e-01,Not_significant,4.578099e+01,3.990080e+01,4.270598e+01,3.565568e+01,4.644953e+01,4.221170e+01,4.768816e+01,4.065004e+01
2878,AGIS_Os01g028780,-4.151334e-02, 0.5689982481,5.274883e-03,9.440540e-01,9.715865e-01,Not_significant,1.026689e+00,1.792866e+00,2.175587e+00,8.343077e-01,1.341875e+00,1.219110e+00,1.554552e+00,1.205132e+00
2879,AGIS_Os01g028790,-1.415910e-02, 2.3801267084,9.827952e-04,9.758363e-01,9.887997e-01,Not_significant,2.146713e+00,6.637418e+00,6.244742e+00,5.664510e+00,5.728775e+00,7.619440e+00,3.383436e+00,3.476343e+00
2884,AGIS_Os01g028840, 7.445421e-01, 6.5273121707,2.482151e+01,1.416451e-03,1.952235e-02,Not_significant,7.742167e+01,6.584013e+01,5.934519e+01,7.372645e+01,1.129240e+02,1.102152e+02,1.213922e+02,1.163880e+02
2892,AGIS_Os01g028920,-1.383214e+00,-0.3882874014,9.191737e-01,3.732935e-01,5.887787e-01,Not_significant,1.306695e+00,8.392137e-01,0.000000e+00,1.405150e+00,0.000000e+00,9.143328e-01,0.000000e+00,9.270249e-01
2895,AGIS_Os01g028950, 1.454948e+00,-0.3078912461,1.607630e+00,2.440213e-01,4.622934e-01,Not_significant,0.000000e+00,6.866294e-01,3.223093e-01,6.147530e-01,4.128847e-01,5.333608e-01,2.560438e+00,6.489174e-01
2897,AGIS_Os01g028970, 5.725307e-01, 3.7601072268,4.176412e+00,7.888887e-02,2.423805e-01,Not_significant,6.486807e+00,1.266450e+01,1.244919e+01,1.229506e+01,1.837337e+01,1.558175e+01,1.636852e+01,1.348821e+01
2898,AGIS_Os01g028980, 4.358119e-01, 3.9436225419,3.610738e+00,9.765050e-02,2.747163e-01,Not_significant,1.722037e+01,1.232118e+01,1.140169e+01,1.137293e+01,1.522512e+01,2.102965e+01,1.705435e+01,1.677915e+01
