GeneID	pho2LPmock_1	pho2LPmock_2	pho2LPmock_3	pho2LPmock_4	pho2LPmyc_1	pho2LPmyc_2	pho2LPmyc_3	pho2LPmyc_4
AGIS_Os01g004330	20098	12540	12833	14524	9244	9530	9023	7832
AGIS_Os01g004340	1046	3189	3967	3100	3114	4569	3016	3507
AGIS_Os01g004350	84	346	447	232	244	560	225	271
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	809	1632	1686	1634	1398	1681	1548	1351
AGIS_Os01g004380	838	759	880	633	881	1072	1027	969
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	1403	1330	1254	1232	984	1011	1254	961
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	0	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	4	24	42	5	56	86	74	60
AGIS_Os01g004460	2108	1824	1402	1353	1382	1158	1189	1212
AGIS_Os01g004470	50	221	249	103	120	260	194	178
AGIS_Os01g004480	2066	1681	1401	1313	961	1164	1089	964
AGIS_Os01g004490	58	41	60	49	67	146	81	62
AGIS_Os01g004500	3084	2643	2245	1531	1067	465	457	670
AGIS_Os01g004510	130	294	315	218	148	360	303	301
AGIS_Os01g004520	4486	2537	2508	3073	1834	2097	1987	1899
AGIS_Os01g004530	91	140	215	113	100	192	46	103
AGIS_Os01g004540	897	621	541	638	606	658	587	519
AGIS_Os01g004550	33	62	23	75	20	17	33	42
AGIS_Os01g004560	29	4	10	28	9	24	6	0
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	0	21	44	8	11	131	1	24
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	2507	2510	2291	2166	3198	3066	3262	3031
AGIS_Os01g004630	245	528	692	556	452	541	543	429
AGIS_Os01g004640	839	930	743	721	900	1203	903	1114
AGIS_Os01g004650	659	446	375	688	229	233	181	478
AGIS_Os01g004660	140	161	172	160	244	330	233	297
AGIS_Os01g004670	71	104	83	98	284	408	348	430
AGIS_Os01g004680	68	22	23	21	33	22	16	14
AGIS_Os01g004690	26	73	116	63	48	69	70	36
