,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
26398,AGIS_Os05g034350, 3.721189e-01, 6.0011786444, 1.073035e+00,3.298964e-01,0.6529077131,Not_significant,4.257970e+01,5.002396e+01,5.528099e+01,5.880060e+01,1.489422e+02,4.902575e+01,6.139656e+01,4.610396e+01
26400,AGIS_Os05g034370,-3.405928e+00,-1.8592743665, 4.624969e+00,6.259525e-02,0.3410129897,Not_significant,1.172349e-01,5.144307e-01,2.677046e-01,7.230383e-01,0.000000e+00,2.300958e-01,0.000000e+00,6.369710e-02
26401,AGIS_Os05g034380,-1.633597e-01, 0.5495985285, 1.091486e-01,7.493245e-01,0.8975566371,Not_significant,1.336477e+00,1.330424e+00,1.219543e+00,2.227740e+00,1.226803e+00,1.549312e+00,1.343807e+00,1.197506e+00
26402,AGIS_Os05g034390, 3.589699e-01, 5.1887884892, 2.278384e+00,1.686814e-01,0.5067807549,Not_significant,2.935561e+01,3.166410e+01,3.197582e+01,3.267352e+01,5.803401e+01,3.687669e+01,4.049045e+01,3.044722e+01
26403,AGIS_Os05g034400, 1.927194e-02, 3.9432065209, 7.333297e-03,9.337925e-01,0.9752047738,Not_significant,1.463091e+01,1.429763e+01,1.557148e+01,1.618042e+01,1.960805e+01,1.406653e+01,1.445143e+01,1.397514e+01
26404,AGIS_Os05g034410, 2.633547e+00,-1.9602050523, 1.157833e+00,3.126101e-01,0.6392357284,Not_significant,0.000000e+00,1.064339e-01,3.866844e-01,0.000000e+00,4.158653e-01,3.374739e-01,2.202962e-02,4.586191e-01
26405,AGIS_Os05g034420,-5.511386e-01, 2.2330967527, 2.200510e+00,1.753821e-01,0.5141999840,Not_significant,4.689395e+00,5.250741e+00,5.398709e+00,5.901556e+00,1.621875e+00,4.939391e+00,3.304443e+00,6.204098e+00
26409,AGIS_Os05g034460, 6.609826e-01, 1.2190643058, 1.684425e+00,2.297195e-01,0.5698399847,Not_significant,1.735076e+00,1.419119e+00,1.055946e+00,3.009403e+00,4.408173e+00,2.239599e+00,2.841821e+00,1.656125e+00
26414,AGIS_Os05g034510, 2.479441e-01, 4.2662865982, 4.149030e-01,5.371219e-01,0.7923657856,Not_significant,1.104352e+01,2.103844e+01,1.612176e+01,1.983470e+01,3.597235e+01,1.497157e+01,2.055364e+01,1.414076e+01
26416,AGIS_Os05g034530,-2.239921e-02, 2.7002659464, 2.772646e-03,9.592687e-01,0.9840283431,Not_significant,9.730494e+00,4.257358e+00,7.599835e+00,4.572729e+00,5.718149e+00,7.194330e+00,3.634888e+00,8.994031e+00
26417,AGIS_Os05g034540,-2.438248e-02, 3.0906623847, 8.591584e-03,9.283540e-01,0.9732982595,Not_significant,8.675380e+00,9.933835e+00,7.049554e+00,8.383336e+00,1.087488e+01,7.194330e+00,6.741065e+00,9.019510e+00
26418,AGIS_Os05g034550, 1.885060e+00, 6.5438099672, 5.064532e+01,8.968499e-05,0.0082782995,UP,3.915644e+01,3.799692e+01,3.956079e+01,3.398280e+01,2.521184e+02,1.148945e+02,1.195107e+02,1.089093e+02
26419,AGIS_Os05g034560, 8.387827e-01, 4.7579014628, 9.689721e+00,1.398564e-02,0.1665402344,Not_significant,1.852311e+01,1.756160e+01,1.859060e+01,1.922891e+01,6.109062e+01,2.801033e+01,2.725064e+01,2.592472e+01
26421,AGIS_Os05g034580,-9.017302e-01, 4.7491550621, 1.047747e+01,1.157476e-02,0.1518927683,Not_significant,2.921493e+01,4.461356e+01,3.277894e+01,3.239993e+01,2.717680e+01,1.448070e+01,1.879127e+01,1.541470e+01
26424,AGIS_Os05g034610, 1.289271e-01, 5.2577986538, 3.620368e-01,5.634939e-01,0.8071349854,Not_significant,3.395122e+01,3.643589e+01,3.887665e+01,3.585879e+01,5.115144e+01,3.736756e+01,3.905852e+01,3.310975e+01
26428,AGIS_Os05g034650,-7.344463e-01, 4.0107876078, 8.551957e+00,1.854318e-02,0.1931992330,Not_significant,2.438485e+01,1.461693e+01,2.049427e+01,2.120261e+01,9.731249e+00,1.257857e+01,1.231456e+01,1.336365e+01
26430,AGIS_Os05g034670, 3.297090e-01, 4.8012494334, 2.121563e+00,1.821066e-01,0.5218452819,Not_significant,2.056300e+01,2.611180e+01,2.888235e+01,2.284410e+01,3.794771e+01,2.721267e+01,3.368329e+01,2.552980e+01
26431,AGIS_Os05g034680, 8.177371e-02, 3.1223775793, 7.280391e-02,7.939685e-01,0.9172426497,Not_significant,8.980191e+00,8.479238e+00,8.521929e+00,7.152217e+00,5.364663e+00,1.147411e+01,8.723731e+00,1.067563e+01
26432,AGIS_Os05g034690,-2.047463e-01,-0.3110771289, 2.655223e-02,8.745109e-01,0.9507496817,Not_significant,3.517046e-01,8.869496e-01,4.164293e-01,4.885394e-01,0.000000e+00,6.135889e-01,5.507406e-01,2.789933e+00
26434,AGIS_Os05g034710, 1.035728e+00, 0.9277641128, 2.713326e+00,1.372778e-01,0.4677864725,Not_significant,7.268562e-01,8.159936e-01,2.141637e+00,8.207462e-01,5.863701e+00,1.380575e+00,1.630192e+00,1.566949e+00
26435,AGIS_Os05g034720,-3.125891e-01, 3.0544740010, 1.615082e+00,2.383373e-01,0.5766406637,Not_significant,1.186417e+01,7.610027e+00,6.826467e+00,1.051337e+01,9.377764e+00,6.458023e+00,5.837850e+00,7.707349e+00
26436,AGIS_Os05g034730, 3.522336e-02, 4.8161590786, 2.769998e-02,8.718109e-01,0.9498242417,Not_significant,2.954319e+01,2.799213e+01,2.721663e+01,2.556038e+01,2.767584e+01,3.474447e+01,3.130409e+01,2.105826e+01
26439,AGIS_Os05g034760, 1.002303e-01, 4.9259573739, 2.224825e-01,6.493412e-01,0.8513816565,Not_significant,3.160652e+01,2.745996e+01,2.714227e+01,3.083661e+01,2.698966e+01,3.591029e+01,3.297835e+01,2.998860e+01
