GeneID	WTmockLP_1	WTmockLP_2	WTmockLP_3	WTmockLP_4	WTmockHP_1	WTmockHP_2	WTmockHP_3	WTmockHP_4
AGIS_Os01g004210	0	0	0	0	26	0	0	0
AGIS_Os01g004220	0	0	6	0	28	12	0	1
AGIS_Os01g004230	4	1	8	0	0	6	16	0
AGIS_Os01g004240	6	18	0	4	1	0	0	0
AGIS_Os01g004250	11	26	10	8	5	6	10	0
AGIS_Os01g004260	1258	1536	1868	1463	566	1929	1007	2604
AGIS_Os01g004270	18	108	179	56	28	101	52	210
AGIS_Os01g004280	1	16	6	0	0	26	0	4
AGIS_Os01g004290	0	0	1	20	0	10	0	16
AGIS_Os01g004300	8	17	18	21	0	15	0	6
AGIS_Os01g004310	843	759	1192	868	571	1178	595	1626
AGIS_Os01g004320	0	0	0	0	0	4	0	4
AGIS_Os01g004330	15883	21476	25605	21433	13128	13002	10915	12656
AGIS_Os01g004340	1677	1209	1890	1302	868	2737	1047	4275
AGIS_Os01g004350	188	289	163	143	36	154	44	499
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	1381	1645	2113	1337	138	1283	568	1694
AGIS_Os01g004380	739	882	1168	936	993	1304	949	1241
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	1023	1181	1867	1265	2435	1879	1576	1803
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	7	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	12	8	13	6	0	17	0	30
AGIS_Os01g004460	1344	2440	2638	1688	3476	2600	1953	2417
AGIS_Os01g004470	136	181	186	159	6	155	37	353
AGIS_Os01g004480	1109	2278	2280	1398	2576	2337	2470	2311
AGIS_Os01g004490	8	90	74	93	0	28	30	69
AGIS_Os01g004500	6222	8354	7883	8088	5498	4481	4049	4718
AGIS_Os01g004510	150	277	373	277	122	305	165	437
AGIS_Os01g004520	1893	4077	4497	2802	5384	3816	3279	4020
AGIS_Os01g004530	113	64	54	84	50	69	47	191
AGIS_Os01g004540	480	744	797	505	993	890	801	738
AGIS_Os01g004550	6	18	52	0	0	26	17	32
AGIS_Os01g004560	12	18	13	18	21	4	30	22
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	6	0	12	6	16	0	0	32
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	2140	2694	3974	3232	3223	2658	2189	3384
AGIS_Os01g004630	530	524	657	700	374	535	400	815
AGIS_Os01g004640	585	878	1344	914	2517	2908	1539	3123
AGIS_Os01g004650	466	590	804	727	1817	1273	1069	1639
AGIS_Os01g004660	112	132	143	128	67	242	124	189
AGIS_Os01g004670	86	127	66	79	11	60	52	70
AGIS_Os01g004680	32	135	37	30	26	33	45	116
AGIS_Os01g004690	81	68	85	59	10	112	108	121
