,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
50453,AGIS_Os11g013970,-2.135961e-02, 1.8389477437, 1.682891e-03,9.683542e-01,0.992078456,Not_significant,3.728991e+00,3.682376e+00,3.006284e+00,2.833470e+00,8.148439e-01,5.440939e+00,4.548064e+00,4.257174e+00
50454,AGIS_Os11g013980,-5.167943e-02, 3.0901181290, 6.111677e-02,8.113542e-01,0.942054032,Not_significant,8.466451e+00,8.307583e+00,9.703450e+00,7.988811e+00,9.924381e+00,8.043127e+00,7.532731e+00,7.862348e+00
50458,AGIS_Os11g014020, 7.413452e-01, 3.4164927870, 2.233519e+00,1.760989e-01,0.604161433,Not_significant,8.396093e+00,8.645579e+00,5.878624e+00,6.001447e+00,3.217589e+00,2.267621e+01,1.776587e+01,1.252223e+01
50459,AGIS_Os11g014030, 2.091717e-01, 1.8876559785, 1.381182e-01,7.204936e-01,0.909499921,Not_significant,3.682085e+00,3.059752e+00,3.259288e+00,2.439932e+00,8.357374e-01,5.086095e+00,6.786564e+00,4.142115e+00
50460,AGIS_Os11g014040, 8.343288e-01, 0.5769611059, 3.221621e+00,1.128528e-01,0.548875970,Not_significant,6.801304e-01,1.280827e+00,7.143644e-01,1.574150e+00,1.462540e+00,1.453170e+00,2.664881e+00,1.802587e+00
50461,AGIS_Os11g014050, 1.023886e+00,-1.0121628855, 1.005743e+00,3.473459e-01,0.725229616,Not_significant,6.097721e-01,4.803099e-01,5.953037e-02,1.967687e-01,5.014424e-01,3.210492e-01,9.060596e-01,6.136467e-01
50463,AGIS_Os11g014070,-6.061433e-03, 0.9483173820, 2.274087e-04,9.883612e-01,0.997653019,Not_significant,1.852769e+00,1.850083e+00,2.098446e+00,1.515119e+00,8.357374e-01,2.213550e+00,2.824774e+00,1.936822e+00
50494,AGIS_Os11g014380, 2.844990e-01,-2.0522830035, 4.833187e-02,8.318650e-01,0.948510748,Not_significant,2.814333e-01,3.557851e-02,5.953037e-02,4.919219e-01,8.357374e-02,1.689732e-01,3.553175e-01,1.725881e-01
50497,AGIS_Os11g014410,-2.708257e-01, 4.0423854724, 1.571033e+00,2.479193e-01,0.657694438,Not_significant,1.510359e+01,1.567234e+01,1.826094e+01,2.264808e+01,1.842801e+01,1.368683e+01,1.094378e+01,1.677940e+01
50498,AGIS_Os11g014420,-5.266764e-01, 4.6573660730, 1.431085e+00,2.682286e-01,0.673696289,Not_significant,2.054463e+01,2.584779e+01,3.446808e+01,3.101075e+01,4.172419e+01,1.485275e+01,8.882937e+00,2.425822e+01
50499,AGIS_Os11g014430, 3.825568e-02, 3.7427235454, 6.661447e-03,9.370982e-01,0.984617797,Not_significant,8.396093e+00,8.485476e+00,2.019568e+01,1.591859e+01,1.715351e+01,1.380511e+01,5.400826e+00,1.743140e+01
50500,AGIS_Os11g014440, 2.996820e-01, 3.4448285377, 1.800598e+00,2.188284e-01,0.637117121,Not_significant,8.396093e+00,9.268203e+00,1.052199e+01,1.035004e+01,1.197194e+01,1.214918e+01,8.509854e+00,1.564799e+01
50504,AGIS_Os11g014480,-6.305785e-01,-0.8070674174, 9.142863e-01,3.687024e-01,0.737274248,Not_significant,4.456027e-01,5.692562e-01,6.994818e-01,9.051362e-01,4.387621e-01,3.886385e-01,4.974445e-01,3.259998e-01
50505,AGIS_Os11g014490, 3.073407e-01, 1.1291069452, 6.864389e-01,4.328845e-01,0.773720202,Not_significant,2.040391e+00,2.223657e+00,1.949620e+00,1.338027e+00,1.358073e+00,3.430157e+00,2.682647e+00,2.166940e+00
50522,AGIS_Os11g014660, 9.419814e-01, 4.0494888046, 2.818143e+00,1.344593e-01,0.571299732,Not_significant,1.353225e+01,9.446096e+00,9.167677e+00,8.913624e+00,4.784596e+00,2.842130e+01,3.604696e+01,2.184199e+01
50528,AGIS_Os11g014720,-1.097669e-01, 2.3479653347, 7.566060e-02,7.907316e-01,0.934476504,Not_significant,3.658633e+00,5.301199e+00,6.444162e+00,4.860188e+00,8.754349e+00,4.173639e+00,3.020199e+00,4.218821e+00
50537,AGIS_Os11g014810, 1.741264e+00,-1.3839544933, 7.721236e-01,4.069774e-01,0.758928973,Not_significant,3.986971e-01,6.404133e-01,0.000000e+00,0.000000e+00,7.521636e-01,6.758930e-02,8.349961e-01,9.588229e-02
50540,AGIS_Os11g014840,-7.287875e-01, 2.0610614792, 2.679749e+00,1.430058e-01,0.577648581,Not_significant,6.027363e+00,6.937810e+00,4.062948e+00,3.128623e+00,5.745694e+00,1.284197e+00,3.464345e+00,2.454587e+00
50542,AGIS_Os11g014860,-1.459173e+00, 2.5917625150, 2.523220e+01,1.261175e-03,0.181981378,Not_significant,9.240392e+00,9.730724e+00,7.262705e+00,8.638148e+00,4.533875e+00,2.112166e+00,3.606472e+00,2.818939e+00
50543,AGIS_Os11g014870,-7.667627e-02, 3.5075690890, 1.549250e-01,7.047956e-01,0.902664423,Not_significant,1.252378e+01,1.001535e+01,1.199537e+01,1.184548e+01,1.349716e+01,1.067911e+01,1.131686e+01,8.821171e+00
50544,AGIS_Os11g014880,-5.660080e-01,-0.3312906068, 6.522384e-01,4.442740e-01,0.778828151,Not_significant,1.219544e+00,1.138512e+00,9.227207e-01,3.541837e-01,6.268030e-01,3.210492e-01,5.685080e-01,9.204700e-01
50548,AGIS_Os11g014920, 1.283941e+00,-0.6248448728, 2.521371e+00,1.535626e-01,0.588677478,Not_significant,4.925082e-01,4.269422e-01,1.488259e-01,2.754762e-01,2.925081e-01,1.672835e+00,1.012655e+00,5.561173e-01
50549,AGIS_Os11g014930,-4.293945e-01, 3.0614137963, 3.941784e+00,8.464739e-02,0.521458535,Not_significant,9.451467e+00,1.213227e+01,7.634770e+00,9.110393e+00,6.163563e+00,7.586899e+00,7.390604e+00,7.018584e+00
50559,AGIS_Os11g015030,-8.278712e-01, 1.8331747937, 5.852303e+00,4.392191e-02,0.463185142,Not_significant,5.065799e+00,3.326591e+00,4.077830e+00,4.722450e+00,5.474080e+00,1.351786e+00,2.238500e+00,1.975175e+00
50566,AGIS_Os11g015100,-1.570654e-01, 1.2085408365, 2.110966e-01,6.588978e-01,0.885235111,Not_significant,2.720522e+00,1.423141e+00,2.812810e+00,2.754762e+00,2.632573e+00,1.943192e+00,1.936480e+00,1.975175e+00
50577,AGIS_Os11g015210,-5.513933e-02, 5.9228381956, 7.542650e-02,7.909917e-01,0.934559159,Not_significant,5.455115e+01,8.755872e+01,4.914232e+01,5.873547e+01,5.900306e+01,6.221595e+01,6.111461e+01,5.271608e+01
50579,AGIS_Os11g015230, 5.144883e+00, 1.0941826209, 3.208394e+01,6.092641e-04,0.142093286,Not_significant,1.876222e-01,1.067355e-01,0.000000e+00,1.967687e-01,2.152024e+00,4.308818e+00,5.862738e+00,3.950350e+00
50580,AGIS_Os11g015240, 2.968495e-02, 1.3330128710, 2.917737e-03,9.583410e-01,0.989382828,Not_significant,1.571336e+00,2.668389e+00,3.140227e+00,1.908657e+00,4.701023e+00,1.520759e+00,1.261377e+00,3.087410e+00
50586,AGIS_Os11g015300,-3.305780e-01, 5.7106988954, 3.025376e+00,1.225613e-01,0.558782698,Not_significant,5.560652e+01,5.180232e+01,5.252067e+01,7.237154e+01,5.887770e+01,4.165191e+01,3.553175e+01,5.031903e+01
50596,AGIS_Os11g015400, 1.080100e-01, 2.8090581245, 2.455849e-01,6.343551e-01,0.874319983,Not_significant,7.551793e+00,6.350765e+00,5.387498e+00,7.575597e+00,8.190226e+00,5.829577e+00,7.053052e+00,7.843171e+00
50610,AGIS_Os11g015540, 2.892052e-01, 3.2986952100, 6.995250e-01,4.289233e-01,0.771718245,Not_significant,5.300327e+00,9.517253e+00,9.271855e+00,1.074357e+01,1.608794e+01,6.911006e+00,9.913358e+00,1.068129e+01
