,gene,E_1,E_2,E_3,ppJ2_1,ppJ2_2,ppJ2_3,pJ2_1,pJ2_2,pJ2_3,J3_1,J3_2,J3_3,J4_1,J4_2,J4_3,RF_1,RF_2,RF_3,RM_1,RM_2,RM_3,cluster,membership
49,Hg_chrom1_TN10gene_975,-2.24558027403605,-2.0252059506011,-2.23991654753486,-0.342712720022418,-0.336509344399886,-0.485581999368197,0.520921706639459,0.381062944632092,0.42232514165879,0.486107557303098,0.492933620938875,0.495548547824883,0.931045502476305,1.16829961076124,0.921989414363467,0.518059732617106,0.508776681376974,0.542238983011734,-0.169221760642045,0.135546881799203,0.319872271201335,1,0.697430863252916
50,Hg_chrom1_TN10gene_980,-1.04040766177467,-1.03241554560465,-0.935745778715971,-1.15776595927597,-1.08927245891983,-1.01071834120941,-0.983930004079239,-0.909752581380761,-0.946924793812842,0.836719623703536,1.13924646566266,1.12119833689201,1.37968421513959,1.39828413716248,1.30804290630651,0.452312543939344,0.511152244692361,0.555957803086999,-0.65403628520432,0.800815322130769,0.257555811261412,1,0.991697999926494
51,Hg_chrom1_TN10gene_985,-1.96157753029856,-1.9912990758817,-1.85686587200952,-0.823154099989033,-0.80890027378927,-0.886361685768643,0.46762313646833,0.452324768642012,0.446080612054566,0.484451285268186,0.420342439988729,0.473605800925781,1.04072384137082,1.16050590461106,1.16363703159766,0.65647776718166,0.65715400806207,0.667169804658696,-0.317961853712012,0.367367438534841,0.188656552084329,1,0.944253425074351
52,Hg_chrom1_TN10gene_994,-1.4218115320547,-1.39051725522501,-1.44342594281997,-1.496305317771,-1.4775020326964,-1.49660972240192,0.292281604235033,0.236241049510526,0.319621230760752,0.872868370667,0.796490828075829,0.854017254091838,1.00900349674649,1.07196789474378,1.20236685575109,0.658740844381822,0.65867602253679,0.66099418006493,-0.0323912799701477,0.10803254566379,0.0172609057094935,1,0.897987281650962
53,Hg_chrom2_TN10gene_2298,-1.12314837779643,-1.1398169962976,-1.04627942823352,-1.24651231083586,-1.20931246061881,-1.19865133865603,-0.898170370953583,-0.836310882297393,-0.905431468609201,0.872612669558742,0.947854754690812,0.872208524911325,1.40888080074324,1.25093989237065,1.26874789870342,0.763711620409878,0.752193577401664,0.804732417808638,0.0767642992175688,0.369755581677724,0.215231596804756,1,0.999994591508886
54,Hg_chrom2_TN10gene_2299,-1.47772243974365,-1.46484253075822,-1.39467144891005,-0.916526069402401,-0.901965109474493,-0.86488809951105,-0.443317167912137,-0.435542881290304,-0.46077368996008,0.801956361148306,0.760384766073234,0.899259033134223,1.25328695668594,1.37057002309381,1.40525275222265,0.951900514803528,0.965067436324108,0.997516808256984,-0.49649399689505,-0.12930321644277,-0.419148001442592,1,0.995208178686172
55,Hg_chrom2_TN10gene_2340,-0.823872795083766,-0.818692941843051,-0.797400968261407,-1.65210304351872,-1.59253908658796,-1.58277411609255,0.0400383824745858,-0.026264414419019,0.00495684072405366,0.726101338754117,0.689147260497168,0.804807764533501,1.31641848881615,1.56523812136838,1.46938002645007,0.624264145072107,0.578772700134736,0.840345636322447,-0.767940686718168,-0.139546829915452,-0.458335822707225,1,0.488067814152004
56,Hg_chrom2_TN10gene_2512,-1.55727086855618,-1.77501465884034,-1.65954168944508,-0.946199553048216,-0.809531976685356,-0.985697949927037,-0.376266867804873,-0.242737962149171,-0.283692593947597,0.015241139605154,0.0404623730316716,0.270419218851185,0.891929053910372,0.781494234801832,0.944421090733868,1.31896553854378,1.3886036730838,1.27295142023564,0.239589154096577,0.915977525388991,0.555899698120988,1,0.999714635210066
57,Hg_chrom2_TN10gene_2543,-1.662713077696,-1.68658299883148,-1.65882300864069,-0.871776308315274,-0.955237480268345,-1.03506871119902,-0.0382118297450893,-0.14652842148217,-0.202080456798841,0.0898313433566881,0.161278083089682,0.0927488657371631,1.00083147604297,0.970891389735842,0.744391597416713,0.379190784668806,0.346627530237193,0.395750378987843,0.905552201418677,1.69815380038597,1.47177484189937,1,0.948695466693625
58,Hg_chrom2_TN10gene_2570,-0.779536051589926,-0.684843082414021,-0.70065466134794,-1.91476768772837,-1.98096781078595,-1.95888870830403,-0.188887983668021,-0.1807423728682,-0.188563154356041,0.712996171388585,0.570150704099188,0.678623220011968,0.688382586460881,0.559777008509278,0.633993372252702,1.08081148082948,1.08064740606514,1.04060642951154,0.876194590163111,0.41745946746483,0.238209076305807,1,0.998080177027468
59,Hg_chrom2_TN10gene_2689,-1.05052629370013,-1.1490111218085,-1.04628723572772,-1.1882221450431,-1.32093810182509,-1.20771940433362,-0.956476606530756,-0.897778471996013,-1.05214962245782,0.644361250765127,0.508508865269404,0.599121083062427,0.825549007073552,0.730175349426793,0.717360805717946,1.24444422824653,1.26649997962201,1.28948612558952,0.809695641821782,0.765129758484408,0.468776908343249,1,0.99977534493342
60,Hg_chrom2_TN10gene_2694,-1.08811769446323,-1.18311328752859,-1.08086153859047,-1.18497769577453,-1.15043767455114,-1.12614499675193,-1.01740749139389,-0.98861125855488,-1.05483575802753,0.539672564385931,0.526779685552753,0.593658832504237,0.66546358132762,0.723195049070531,0.667848169743746,1.24249340165813,1.31262331403552,1.29473738924807,0.919608068214072,0.837816957394706,0.550610382500885,1,0.99960375451683
61,Hg_chrom2_TN10gene_2705,-1.03038809473048,-0.979897658702296,-0.929874476842389,-1.41341864583536,-1.5352550940374,-1.31668981907738,-0.847200698415928,-0.690106343183722,-0.665915124718855,1.41155379826867,1.10812029080927,1.167498682213,1.1039134824725,1.00858395375195,0.914514835125426,0.645408658065142,0.58797261676521,0.715326709673749,0.621236314947624,0.241522762545933,-0.116906149094653,1,0.999861525110367
62,Hg_chrom2_TN10gene_2810,-0.838181879332734,-1.66968545807251,-1.29053892801964,-1.22228965468436,-1.214859533737,-0.416970656043855,-0.937680182989466,-0.762098458353374,-0.794782487702845,0.435165608555055,0.23344427438553,0.100295138292638,1.15543638736752,1.45247869751382,1.21389844313928,0.550993090494573,0.983952819660444,0.486058040587326,0.256893059517751,1.50442906958288,0.774042609838975,1,0.999020860054385
63,Hg_chrom2_TN10gene_2830,-1.55873798394735,-1.69349348694358,-1.41312917936229,-1.16690121881826,-1.10073721338428,-1.24998855943165,0.598477735837866,0.615842579330885,0.507061226799614,0.18120867484746,0.672321075841814,0.71467046554029,1.55117014229448,0.598464830595972,1.30687933192479,0.110151403408737,-0.116106217236675,-0.112527650164169,-0.395118595213345,1.04854715933679,0.901945478742883,1,0.913135280945236
64,Hg_chrom2_TN10gene_2838,-1.30982101516768,-1.47045765165799,-1.62260244456087,-1.16104089817506,-1.47012234103223,-1.01823116318009,-0.389178258423228,-0.172996967668918,-0.235570736094762,0.893489394457085,0.885798315357712,0.941145214856801,1.02688916823996,1.37326807355999,1.04366708823745,0.214808537427521,-0.0679899988170696,0.222997939219568,0.338419855726942,1.12602168967609,0.851506198018781,1,0.999999407478629
