GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	0	0	0	0	0	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	0	0
AGIS_Os01g002250	0	0	0	0	24	0	0	0
AGIS_Os01g002260	0	0	0	0	12	1	0	4
AGIS_Os01g002270	456	193	186	235	1523	418	833	407
AGIS_Os01g002280	3600	4040	4072	5787	14330	6728	8948	6453
AGIS_Os01g002290	1804	2589	1668	4713	5407	7487	4930	3131
AGIS_Os01g002300	0	34	4	0	60	21	18	4
AGIS_Os01g002310	0	0	0	0	6	0	0	0
AGIS_Os01g002320	831	727	840	484	1337	1793	1431	361
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	0	0	0	0	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	0	0	24	1	1	0	0
AGIS_Os01g002410	470	878	637	1059	601	560	779	907
AGIS_Os01g002420	94	270	79	200	130	146	110	181
AGIS_Os01g002430	2341	2171	2162	2069	1056	1143	1804	1958
AGIS_Os01g002440	465	1693	717	1948	1295	1286	1177	1797
AGIS_Os01g002450	133	68	74	206	213	171	258	570
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	13	0	0	0	0	0	0	0
AGIS_Os01g002480	0	27	12	38	30	57	42	14
AGIS_Os01g002490	0	0	0	0	0	0	0	0
