effector,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00057,0.5524384525957443,-0.1660487904589049,0.5350499187680701,-0.18885713688800157,0.35458238016655885,-0.06002978548913658,0.6096815648804655,0.3203687875815154
BM00058,-0.8457492435276647,-2.022243260350977,-0.6808607708435601,-0.876833604245177,0.3373482962356346,-0.3130769815002446,2.9816721461552746,0.8903529139864994
BM00059,0.0019285526473530358,-1.3731424342464684,-0.0483883735794553,-0.9325321094126051,0.7681674082933835,0.4965530158983169,-0.15210276994496158,0.5101015702029164
BM00060,-0.317260010354231,-0.6080645324934595,-0.4345108083036761,-0.6712409782349067,0.5734914966825478,0.06250889481926589,-0.010388192325895511,0.4774665678641458
BM00061,-0.9765358911149826,-1.620473303961542,-1.0695320160382433,-1.1422296728805066,0.6707535916048526,0.5851170133925468,0.8702516605826398,0.7130734657918927
BM00062,-0.4561555356242419,-0.8848289804267628,-0.34346573548312875,-0.8728159554773546,1.580846508844945,0.3432476821475166,0.8904632199845144,0.34875050410430675
BM00063,-0.31343943680679265,-1.0809598839862016,-0.4475542920493856,-0.8106801556411267,0.5499035025780338,0.03131456349074906,0.3551652136323901,0.3695254751696313
BM00064,0.5609085504885674,-0.6052978634630156,0.39736174908295774,-0.16216833885668247,0.030264249260387097,-0.3030464068129576,0.3252404352560392,0.012239738110452486
BM00065,0.28473731668879676,-0.5659101039376349,0.011515207916463098,-0.5500357293867846,0.7338184984409348,0.18146772720000842,0.18271224941191372,0.544582424167476
BM00067,-1.3875892924960367,0.1296402477826528,-0.18596061973137934,0.5001478235888234,0.8213213707221648,0.42323890088701316,0.4024959856590412,0.5141394084746046
BM00068,-3.248915490039788,-3.8824232547472906,-3.4248240380860633,-3.7469844309574056,-4.506890221184388,-3.035977576627301,1.3570428161760943,4.964457219556976
BM00071,-0.39621274155756775,-0.23600237864637488,-0.49727498833206624,-0.838481281897194,0.36737741976219596,0.04022097010324119,0.19851780350707562,0.2176597651612005
BM00073,-2.0235379649709855,-3.060047313814234,-2.226302218182381,-2.1205900764862244,0.6415187150398467,0.9491516912924598,2.2277633218533777,0.9070039769684186
BM00075,0.01163738641466807,-0.8346743460700354,-0.06011039558745173,-0.08852090238525447,2.146594240486276,2.00717484777392,0.055410127710078444,0.4046445516233749
BM00076,0.9082786717823798,-0.5219982348043305,1.0767667437267765,0.7047018923786973,0.2683348475526773,-0.6062760388326016,0.9157129950174469,0.22711702487724664
BM00077,1.7026934900628856,0.41289688560707694,1.723478018007212,1.559412547919297,1.0658940471513678,0.09763870865349482,1.5631990605800834,0.44920728884429934
BM00078,-0.18551080534472378,-1.1097998457217837,-0.13361748792151573,-0.679146096036527,1.5131314775701077,2.013920902727083,2.5339005502580165,0.9832026197953755
BM00079,1.1830232053357428,0.09861241287939491,1.3744764444397366,1.503424248629902,1.3935584721696166,1.1239546830089484,0.24494148882916036,0.49340712732767084
BM00080,0.2558731131844953,-1.0394831864080802,0.21983786400391198,0.2800709722655933,0.7271069608561311,-0.25294477250992514,1.2314250858410012,0.04092537722521826
BM00083,-0.14324236014505745,-0.38038332824249965,-0.053744637966949324,-0.8591231560032542,-0.05249457122920336,0.027191203731553718,0.17620703862322756,-0.05645231207584196
BM00084,-2.9960150316626475,-3.488405634022008,-3.165537726631635,-3.4640423400287363,-2.338745075321043,0.6465438258202169,2.6164800793074865,3.8560505301411276
BM00085,1.0469096746888926,0.4424338463190286,0.7398112461013586,0.5384029947214681,0.7166703839372843,0.4333914903176227,0.7214065141787862,-0.06856619699225325
BM00086,-0.5706472495175612,-1.291141985226019,-0.6096137315181084,-0.9703368754948852,0.28260202893236924,-0.15272065804007748,1.7380537980471242,0.39451348411589393
BM00088,-3.149729533567038,-3.733287811727909,-3.3301831388522136,-3.5385143423682046,-3.341329437776492,0.11897468870378262,-0.2862109498888364,4.964457219556976
BM00090,0.5572570053732425,0.43413076623743246,0.7015000076457305,0.4370230659190889,0.5782116572580274,-0.1564841985140258,-1.2627912446260536,0.2290240099664467
BM00091,0.005306340401308809,-0.5841952406696378,-0.08414982806855785,-0.6149873700682452,0.9106444368648098,1.596547242361812,-0.5929838424352022,0.29765266571563387
BM00092,-0.673196089887974,-1.0187518303200613,-0.6605665875360386,-1.441987759169337,2.3207005777071164,4.896104157326639,1.0091105853671185,0.42584406984451373
BM00093,0.0424288483975273,-0.3701816191464829,-0.051591376871959194,-1.0555208962979357,0.4992831847661615,0.28776803602905787,1.967394977106406,0.09889536141857447
Col-0,-0.07066974230712499,0.3420549028047222,0.0,0.10595015787629741,-0.19547332360716116,-0.18917729271806166,-0.5037843853853381,-0.18816513404407967
EmptyVector,0.45039847428372703,-0.6793368076824768,0.53899391164649,-0.6014975730958798,-0.12957742528971858,-0.21745690470670193,0.03060200616417244,0.16080165171118158
GFP,-0.020157077253175695,-0.15915853416417863,-0.12930754413481355,-0.6096363869597933,0.41047954769124423,0.25121860709076826,0.0,0.11219391199375638
