effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00035,-0.3248908592281293,-0.08575273420640613,-0.30393670248491245,-0.3951204738974869,-0.6377675754348449,-0.5256537208074724,-0.0651467532202591,-0.5003903319399559,0.45818262941397425,-0.9110713788643345,0.09242884888099431,-0.7198813779793796,1.406163224929196,1.5815367034867271,-0.2869492897572494,0.5399684478756908
BM00036,-0.7939042511393117,-0.7145010342662939,-0.8193332329818376,-1.0264910438963852,-0.8576422980303676,-0.6524238472535403,-1.1834394820152825,-0.04418468613412992,0.6897391470502363,0.0753116925315304,0.6558870135664313,0.10321084870204225,0.47278335876552996,-0.15455141463886207,-0.9850366249427511,0.353993120853574
BM00037,0.14680792698847328,0.17187292982671434,0.13361168650497915,-0.02654676958483866,-0.5556560290951474,-0.23431133812129398,-1.34341760235503,-0.6294772215993374,0.10866360350060249,0.10691646401034265,-0.4077242088084041,-1.0009390677767684,0.1832609837159768,-0.14575777435670534,0.3298175420223176,-0.0592299401222087
BM00038,-0.7029403936194962,-1.1177510763869003,-0.6708850205431395,-0.45595751926035744,-1.1821126567743352,-0.9989091396255746,-0.2843491985448805,0.5063235852123886,-0.021723134431955768,-0.5866169639932677,-0.13407786606476804,-0.2825258026439677,0.03847456294754493,-0.6343400917896369,0.5141104186058391,0.6619455464690918
BM00039,-1.3962615805263423,-0.9980748345486439,-1.2525918214580845,-1.641288094739972,-0.38963313882930734,0.08909888533183301,-0.6113664565581173,0.5270400341528984,-1.4904149969821447,-2.1911595488358246,-1.7103545092706447,-1.8276417926497175,2.747122878209452,3.3872618153181113,1.4335722444626882,0.9143649336958526
BM00042,-0.8408299222192477,-0.5927702303050415,-0.7596378509611,-1.3929670484316785,-1.2009098545798467,-1.4199948405132554,-0.9631726255551313,0.3626015830447274,0.1409495147951875,-0.8934885941817923,-0.06634376644147108,-0.00417699167762835,-0.32416688709557917,-0.7749274388388534,0.19925269836425952,0.2037932133346488
BM00044,-1.7235266745603446,-1.7573752229210178,-1.711140297887129,-1.6985231326543169,-1.318022486948695,-0.9138651621804865,-1.6539244658218661,1.0971679158605971,-1.2515897300662249,-2.4350021348265427,-1.3365656728277535,-1.4771764235181668,0.8212555444272291,-0.436279633170707,1.6675531771842649,0.8851892068758381
BM00045,-1.8712246527337857,-1.6594595005775876,-1.8436868403886286,-1.3595692331211149,-0.41375899424688967,1.1067722049654676,-0.1515174415833192,0.6181586498609772,-0.6093082999562122,-1.3614417719780716,-0.6854133440250005,-0.9591542828984144,1.6613125917781684,0.6368919163142316,1.5336644458292732,0.6138835612897625
BM00046,-1.3515413031404102,-1.095080541388743,-1.3759930508900509,-1.476702594397791,-1.740080958177493,-0.7777386080778981,0.10403459286240747,0.11697343804379519,0.3229188116323347,-0.7893694523511633,0.25532385584744155,-0.5058956421833073,-0.26783634125479955,-0.40509021235677156,-0.3369017463130803,0.25511268502527396
BM00051,-0.6680789148567229,-0.7678365294998173,-0.7234052464592936,-1.1133530072385782,-1.0876351579001844,-1.109438205215287,-0.39267767231055356,0.10446975888055092,-0.5637912224649202,-1.0168623356391684,-0.6589785283915536,-1.2055568886837114,0.21267815003795593,0.9079004788395321,-0.15187315916601785,0.5003542030264074
