effector,replicate,n_timepoints,days_post_inoculation,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,dpi_to_10mm2,outliers
BM00007,1,13,28,76.48141404,660.6408217,2.658342837,6.254198583,0.126017073,0.26028261,0.083817687,12.64920117,FALSE
BM00007,2,1,0,2.068949266,0,,,,,,,TRUE
BM00007,4,13,28,130.2775017,1131.467928,4.442568893,10.33792523,0.164670856,0.258552879,0.090628866,8.364447314,FALSE
BM00007,5,13,28,80.83627171,755.7392941,2.809908321,6.096629522,0.146647355,0.412599949,0.077257249,11.15430911,FALSE
BM00007,7,13,28,143.4057954,1381.552095,4.993918557,9.830345419,0.155471358,0.254395901,0.066654473,6.688698959,FALSE
BM00007,10,13,28,83.14083176,806.6154906,2.900444122,5.969216215,0.139384455,0.350776157,0.064010027,10.06730798,FALSE
BM00008,3,5,9,9.80568506,62.56480801,0.49140513,1.014335941,0.070530612,0.137656756,0.043173507,,TRUE
BM00008,4,13,28,108.7365398,886.5575274,3.730292788,9.586192826,0.124288325,0.308643587,0.102392259,9.921332555,FALSE
BM00008,5,13,28,7.223549697,82.38217273,0.143922044,1.396458168,0.031851793,0.558039542,0.289135619,,TRUE
BM00008,6,12,28,93.64886686,944.47525,3.287467292,7.414681052,0.132598827,0.260670682,0.056983565,8.006194342,FALSE
BM00008,7,12,28,121.230147,959.9609885,3.588538737,10.49959047,0.1333327,0.183335999,0.113494613,9.78385119,FALSE
BM00008,8,13,28,90.95715829,911.9752452,3.10035093,5.936745601,0.118204078,0.189279176,0.072639522,7.780491046,FALSE
BM00008,9,13,28,110.2618249,1029.681684,3.737992699,7.446945749,0.127453587,0.205393492,0.075473073,8.998323839,FALSE
BM00008,11,6,21,89.85920163,742.6694995,4.968097741,8.230027475,0.125545486,0.157682337,0.101165855,2.378367252,FALSE
BM00009,1,12,28,120.2385046,972.2473124,4.007701895,10.13962167,0.169616863,0.281263499,0.097224551,10.49886262,FALSE
BM00009,2,2,7,51.6235562,243.1559094,4.824856489,4.824856489,0.151714169,0.151714169,0.151714169,,TRUE
BM00009,4,1,0,3.117056479,0,,,,,,,TRUE
BM00009,5,13,28,133.954731,1212.893147,4.610571949,10.73582306,0.151323107,0.325682772,0.09167,6.351603959,FALSE
BM00009,9,12,25,52.10740195,717.4674717,1.979859023,5.290689143,0.142520224,0.427177749,-0.016847906,7.316983216,FALSE
BM00009,10,13,28,50.80103646,466.3235682,1.723379119,3.90887372,0.127101432,0.31248785,0.087482948,13.25481355,FALSE
BM00009,11,12,28,121.7034306,1176.017149,4.190136921,9.870409395,0.153743142,0.32032958,0.092932304,6.69092287,FALSE
BM00010,1,13,28,97.90756497,990.1060879,3.324439804,6.052022311,0.144047171,0.244347482,0.066550476,8.454022114,FALSE
BM00010,2,13,28,118.7575576,1087.189695,4.11810126,8.736018625,0.137805322,0.238283589,0.066331634,8.497336315,FALSE
