effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00067,1.6113987748051053,1.4256023378178049,1.3942429894542605,2.2612536935648904,-0.02519192896858127,-0.6438866555749234,-0.3457652140400657,-0.8927533467506319,-0.9223362060482188,1.3171636161097946,0.3491717395438965,1.444872876735536,0.5106814294977332,0.08875291213633892,-0.019043216083327152,-0.10886399994170029
BM00071,0.5824733362105242,0.8241965832264785,0.5804428809412717,0.25008185634693325,0.8581415449953169,0.5045157875984407,-0.10029613892395979,-0.6718013926897962,0.11445429101734038,0.9346226421907563,0.021404082989531115,0.03753621958140391,-0.03298184454375402,-0.32347556164551405,-0.2228361934133805,-0.44811132288129096
BM00073,-1.6195976369785114,-1.631107088361773,-1.687919924534831,-1.8398531460787932,-1.2340971846201563,0.23501531058866607,-0.986032300166174,1.1407883643095018,-1.587417036958862,-2.0199368697591784,-1.7990040330702726,-1.3103791198432013,0.29534184789766127,0.6547740028136377,1.8045668432965203,0.3406719332841011
BM00075,0.3103361483821754,0.21843635123724647,0.3078003464012139,0.45649125410134694,0.5226643428135628,-0.1535458382681976,0.3119972135595203,0.12255211936151174,0.5409876163298042,0.3082827657028417,0.4816732788397148,0.8259896673474117,2.0978866028471006,1.7934864127776309,-0.3658139326096558,-0.23415367125706635
BM00076,0.6577303017435132,0.6045521210006222,0.7798982429415905,0.5087131790541188,0.4063407624328624,-0.9845697875429221,0.13859275405536337,-0.37772498387203446,1.478703122174556,0.6354093518259104,1.678635556611153,1.6599260518071317,-0.15159959231426176,-1.0192771256945017,0.49370781076745063,-0.43728983778653996
BM00077,1.874298061415868,1.8910004492809314,2.548272235458522,2.720595408235597,0.4985098524447954,-0.8911428241673327,-0.36478239741982954,-0.6436256110178946,2.3095092710002527,1.6135110938659747,2.35952619391442,2.558506272327437,0.8035924413691422,-0.2616789071595425,1.140605982369086,-0.18316268537990688
BM00078,0.6079244764246793,0.3311998186318627,0.4419689019884283,1.8026104709221877,-0.719059634923993,0.5168512033459103,0.846078034329133,-0.11326567782451034,0.33480826748772885,0.020442210528483395,0.4042812602741819,0.20504957105210045,1.339223690956596,1.8007469499845976,2.110426110155129,0.42786235655154053
BM00079,2.260075879253302,2.1959543096989043,2.2874017743903945,1.5040674862499548,1.4549965930354511,2.7665446453139957,-0.2450291531866479,-1.3644573690566357,1.7660334218867952,1.2847018150927425,1.9920795244395406,2.499644272660192,1.1960177919341766,0.8429081988820456,-0.17645465912079256,-0.13258694698428483
BM00080,1.0382437496636812,1.0990364878670462,1.0679374506366375,1.131069188726737,0.18870246361394366,-0.45615599738535895,-1.1306664957404557,-0.9191909221047262,0.7964115320146666,0.09400858761996433,0.7764170949223881,1.2135001843378235,0.39784610165310375,-0.6389993450758364,0.8091332464157326,-0.6503399390135284
BM00083,0.87041426917614,1.260638759557265,0.8151817503785946,0.37279048107501694,-0.4036376934922745,-1.1525323432685421,0.2348465901895602,-1.1927353990662866,0.37901298694298086,0.7835690584954818,0.4883754733668856,0.01583486408064179,-0.5358390382963631,-0.33749903228080164,-0.24512670092855587,-0.761764521289172
BM00084,-2.6674257452785284,-2.3820632947244866,-2.645448648832855,-2.6915689379549974,-2.6337602184138946,-1.453602418894668,-3.55951509410765,0.3880152985719351,-2.604442283728779,-2.4680919730056314,-2.78787911436127,-2.72278649233464,-3.2739533621133576,0.32908800090050694,2.1929306599749094,3.715123336446718
BM00085,1.0941985946417345,1.611047506132355,1.0570206079524893,0.8258320761959411,-0.507108101053069,-1.064861369486508,-0.7142827401793191,-1.7218584544895317,1.623684669575571,1.6444131192334999,1.3238716107122888,1.4850915634800834,0.3853467973546609,0.09967978033112491,0.2995777531952416,-0.7756258541697794
BM00086,-0.2646650638663296,-0.2738878263491329,-0.2466489597134855,-0.44809131010025777,-1.1858396502086077,-0.21646615959010568,-0.8188316762149962,-0.5174944323798766,-0.06797088339497301,-0.1692807420058196,-0.09687187953624889,-0.10108710002247953,-0.1345125873573192,-0.5311317221175603,1.3153019580500795,-0.24574616203323765
BM00088,-2.918089111146722,-2.436074861829981,-2.8616962012022102,-2.5277765892851494,-3.9932981291550695,-1.7489953979076744,-2.7152483361379542,2.322738438289436,-2.7651982897940557,-2.724291496758952,-2.9612262077464337,-2.801080904427189,-4.474692563159333,-0.23871575638805687,-0.7071248306091121,4.9834195267358155
BM00090,1.067871008611248,1.2471599456651148,0.910670038953525,1.3838971254368384,0.29748351831156117,0.1186651679827067,0.30126519705518073,-0.7058183695734479,1.111601512142932,1.6357263083658449,1.2835355834844437,1.3785081270983808,0.21952252652370458,-0.5351822858664095,-1.682818425711782,-0.4351077669395612
BM00091,-0.22811642447565825,-0.4705426964089772,-0.3904184886749652,0.26862967869249205,0.988548862496853,1.138578657079436,0.6306874836734673,-1.2915242233733986,0.5343665515719964,0.570337881819989,0.4563633373659383,0.2725013592744153,0.6176586686124738,1.351542635562431,-1.0136191844493665,-0.3565793139245144
BM00092,0.41601251726466104,0.3583560410467935,0.390049284647368,0.3939084095048218,-1.2959578832664693,-1.8179165683069312,-0.8141228250300375,-0.8725738359525651,-0.1752173812877156,0.11569805316730944,-0.15051764695397588,-0.5969463154346526,2.3064040225080147,4.902737506332535,0.5870205994785095,-0.20989608741840807
BM00093,0.8443848035365455,0.6662378856787566,0.8338716284274732,1.2453229115832691,-0.2501766835965109,0.40224991224635165,0.3415707736695791,-0.4531214363373032,0.5731896037021738,0.7942422444184213,0.49064253654879697,-0.19064334423426735,0.124994310696008,-0.05704952522743336,1.5444349036023426,-0.5840076885808817
