effector,replicate,n_timepoints,duration_days,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,time_to_10mm2,is_control
BM00038,1,13,28,144.79479643328887,1375.1643270890515,4.986786002463527,14.067692948300868,0.172526977,0.3265780800378475,0.027956311726071863,11.079901385376774,FALSE
BM00038,2,13,28,219.0711474120781,2180.210027049907,7.791575240030331,17.178773233477116,0.18820651926982854,0.3226338744825215,0.028338615253035826,8.599694948643624,FALSE
BM00038,3,13,28,142.30572365275737,1218.2383509293827,5.1130297161751646,16.395241902395682,0.17850954761434387,0.3785049640762337,0.049206404,10.915136683056115,FALSE
BM00038,5,12,28,119.44754744518528,1059.5902534052195,4.551827820233131,10.76276321616158,0.19460867978104568,0.35301974746266995,0.023436235,10.620296367604125,FALSE
BM00038,6,13,28,112.52611070951046,1033.4870020015796,3.9828350705580746,9.954726979197247,0.18811427459985053,0.3551091338532919,0.046051256883759294,11.273264893383823,FALSE
BM00038,7,12,28,183.93319789989988,1857.9385018977896,6.420999475263838,13.851736947945575,0.18092932175187393,0.29715492409080274,0.035215903,8.451930548190544,FALSE
BM00038,8,12,28,158.40179715099114,1523.9644764579498,5.149373393426964,10.587892036733368,0.17718560588547294,0.4338154098713001,0.059513702,7.454952135442495,FALSE
BM00038,9,13,28,84.869144,1470.0786055262267,3.2391749013535023,16.065207744440837,0.19761262555659323,0.5273345082803275,-0.083679905,8.068261289722356,FALSE
BM00038,10,12,28,130.3679762685594,1031.212529630865,4.265942307414788,11.88362803886509,0.3440678166071931,1.758600528709231,0.076358828,10.993236344564188,FALSE
BM00038,11,13,28,198.1349900352876,1489.2543721748673,6.857770325354934,16.835495998725968,0.17745236037012888,0.29166108800808854,0.080120455,10.88369109869771,FALSE
BM00038,12,13,28,138.9255065076502,1131.6195566526442,5.002276810579575,15.108577929250398,0.17358117286973532,0.38847833644582375,0.045367237771780644,10.137839907800329,FALSE
