,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
14315,AGIS_Os03g023170, 2.737083e-01, 4.760051e+00, 1.999321e+00,1.910264e-01,4.400969e-01,Not_significant,2.702006e+01,2.592837e+01,2.122694e+01,2.353082e+01,2.285307e+01,3.135004e+01,3.137692e+01,3.317104e+01
14316,AGIS_Os03g023180, 1.819422e-01, 4.048634e+00, 7.915386e-01,3.968005e-01,6.442260e-01,Not_significant,1.162153e+01,1.720807e+01,1.614980e+01,1.719933e+01,1.886951e+01,1.822347e+01,1.719343e+01,1.560596e+01
14319,AGIS_Os03g023210,-4.955691e-01, 2.483440e+00, 2.601703e+00,1.412185e-01,3.723327e-01,Not_significant,6.288078e+00,7.208785e+00,5.458356e+00,6.574075e+00,2.725595e+00,5.076683e+00,6.691145e+00,4.437317e+00
14322,AGIS_Os03g023240,-6.192949e-02, 2.706933e+00, 5.295178e-02,8.231511e-01,9.213493e-01,Not_significant,5.873023e+00,7.499461e+00,7.624371e+00,5.482439e+00,6.125102e+00,4.793522e+00,6.950995e+00,7.568556e+00
14323,AGIS_Os03g023250, 1.310999e+00, 2.585904e+00, 1.228571e+01,6.673260e-03,5.356188e-02,Not_significant,4.586354e+00,3.023039e+00,2.287311e+00,3.687304e+00,4.732352e+00,1.132646e+01,9.679423e+00,8.372297e+00
14326,AGIS_Os03g023280,-1.911013e-01, 2.869850e+00, 4.018353e-01,5.419216e-01,7.584415e-01,Not_significant,7.699263e+00,7.615732e+00,7.555058e+00,7.107764e+00,3.534288e+00,1.088150e+01,7.037612e+00,6.748071e+00
14327,AGIS_Os03g023290,-1.968109e-02, 1.548852e+00, 2.904249e-03,9.581996e-01,9.838117e-01,Not_significant,2.158284e+00,2.993971e+00,3.240358e+00,3.129357e+00,3.489361e+00,3.418165e+00,2.836699e+00,1.825161e+00
14330,AGIS_Os03g023320, 2.017854e+00,-1.772107e+00, 1.841514e+00,2.078384e-01,4.602218e-01,Not_significant,2.075273e-01,1.162707e-01,0.000000e+00,1.455515e-01,2.995160e-01,5.865491e-01,3.897754e-01,2.679135e-01
14333,AGIS_Os03g023350, 1.934363e-01, 4.256054e+00, 1.029166e+00,3.368581e-01,5.914355e-01,Not_significant,1.776434e+01,1.752781e+01,1.718949e+01,1.819393e+01,1.630864e+01,2.034719e+01,2.563856e+01,1.957443e+01
14334,AGIS_Os03g023360,-6.744157e-01, 1.106180e+00, 2.536960e+00,1.456840e-01,3.791976e-01,Not_significant,1.992262e+00,2.441685e+00,2.876467e+00,2.935288e+00,2.545886e+00,1.112421e+00,1.602410e+00,1.406546e+00
14335,AGIS_Os03g023370, 4.276803e-02, 1.372526e+00, 1.002639e-02,9.224354e-01,9.697167e-01,Not_significant,3.092157e+00,1.889399e+00,3.690889e+00,1.358480e+00,4.477764e+00,1.941680e+00,1.602410e+00,2.294009e+00
14336,AGIS_Os03g023380, 2.342194e-01, 3.120875e+00, 8.075994e-01,3.922465e-01,6.409108e-01,Not_significant,1.155927e+01,6.249551e+00,6.757965e+00,7.495901e+00,9.299971e+00,1.191301e+01,8.033705e+00,7.953682e+00
14345,AGIS_Os03g023470, 1.467219e-01,-9.610291e-01, 1.254179e-02,9.135912e-01,9.657475e-01,Not_significant,0.000000e+00,5.232182e-01,4.158748e-01,3.396201e-01,0.000000e+00,2.629358e-01,2.100456e+00,2.009351e-01
14346,AGIS_Os03g023480,-1.952967e+00,-9.246660e-01, 8.503695e-01,3.834255e-01,6.331993e-01,Not_significant,0.000000e+00,6.394889e-01,4.158748e-01,8.733089e-01,0.000000e+00,1.213550e-01,1.927223e+00,0.000000e+00
14353,AGIS_Os03g023550,-9.556135e-01, 2.029405e-01, 2.885840e+00,1.235951e-01,3.442394e-01,Not_significant,1.431938e+00,1.366181e+00,2.148686e+00,8.490503e-01,5.091771e-01,4.651941e-01,1.364214e+00,7.702513e-01
14354,AGIS_Os03g023560,-1.319348e+00, 3.541615e+00, 4.548645e+01,8.431779e-05,2.454579e-03,DOWN,1.807563e+01,1.703366e+01,1.582057e+01,1.540420e+01,7.113504e+00,6.371136e+00,6.366332e+00,6.697837e+00
14355,AGIS_Os03g023570,-9.614800e-01, 4.430899e+00, 3.233486e+01,2.998047e-04,6.137387e-03,Not_significant,3.808126e+01,2.941649e+01,2.361822e+01,2.263325e+01,1.958834e+01,1.553344e+01,1.167161e+01,1.172122e+01
14359,AGIS_Os03g023610, 2.157156e+00,-1.968945e+00, 1.242317e+00,2.939122e-01,5.520220e-01,Not_significant,0.000000e+00,0.000000e+00,4.505310e-01,1.455515e-01,2.995160e-01,2.022583e-01,1.299251e-01,4.353594e-01
14370,AGIS_Os03g023720,-2.016752e-01, 4.974348e+00, 1.159689e+00,3.095569e-01,5.656694e-01,Not_significant,2.753887e+01,3.243953e+01,3.640637e+01,3.573289e+01,1.725212e+01,3.102642e+01,3.934566e+01,3.144635e+01
14373,AGIS_Os03g023750, 2.483018e+00,-4.759498e-01, 3.439432e+00,9.665634e-02,2.982124e-01,Not_significant,1.037637e-01,0.000000e+00,2.425936e-01,7.520160e-01,2.291297e+00,8.090332e-01,4.763922e-01,6.697837e-01
14383,AGIS_Os03g023850,-6.213252e-01, 2.164472e+00, 3.773119e+00,8.398899e-02,2.739416e-01,Not_significant,4.544848e+00,6.889040e+00,5.007825e+00,4.584872e+00,1.617386e+00,5.157587e+00,3.551287e+00,4.236382e+00
14384,AGIS_Os03g023860, 2.115381e+00, 1.105879e+00, 8.012319e+00,1.970931e-02,1.104797e-01,Not_significant,1.203658e+00,5.813536e-02,1.594187e+00,8.975674e-01,3.743950e+00,3.296810e+00,2.013840e+00,4.001958e+00
14386,AGIS_Os03g023880,-1.167279e+00, 4.959037e+00, 3.935407e+01,1.457445e-04,3.726325e-03,DOWN,4.368450e+01,4.833955e+01,3.519340e+01,4.351989e+01,2.475499e+01,1.868867e+01,1.255943e+01,2.181821e+01
