GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g001800	0	3	6	2	0	2	0	0
AGIS_Os01g001810	15	3	0	0	6	16	18	18
AGIS_Os01g001820	0	7	29	11	0	6	8	2
AGIS_Os01g001830	12971	8476	14502	9533	10090	4692	4662	5523
AGIS_Os01g001840	607	433	817	776	238	601	971	744
AGIS_Os01g001850	72	29	93	96	144	191	151	180
AGIS_Os01g001860	3231	1666	2115	2897	7181	3577	2299	3965
AGIS_Os01g001870	188	123	131	216	405	285	274	323
AGIS_Os01g001880	1753	1044	1749	1946	4373	2582	1855	2995
AGIS_Os01g001890	435	186	240	441	1088	512	438	534
AGIS_Os01g001900	1103	662	1252	1409	2852	1705	1183	1438
AGIS_Os01g001910	0	0	16	0	26	16	15	10
AGIS_Os01g001920	576	488	798	643	1380	470	613	910
AGIS_Os01g001930	0	0	0	0	0	0	0	0
AGIS_Os01g001940	12	43	31	19	2	4	3	0
AGIS_Os01g001950	0	0	0	0	0	0	0	0
AGIS_Os01g001960	0	0	0	0	0	0	0	0
AGIS_Os01g001970	52	42	107	81	14	54	155	75
AGIS_Os01g001980	614	489	1082	579	616	628	455	460
AGIS_Os01g001990	90	36	88	117	166	73	94	96
AGIS_Os01g002000	281	170	216	179	419	280	228	473
AGIS_Os01g002010	1408	1348	1663	1046	1094	1825	1291	2272
AGIS_Os01g002020	4140	3588	5497	4185	2756	4149	5315	5552
AGIS_Os01g002030	44	90	52	74	204	66	41	77
AGIS_Os01g002040	1262	1169	1341	889	1994	1256	969	1239
AGIS_Os01g002050	645	521	607	520	1041	729	477	650
AGIS_Os01g002060	958	822	1423	795	1417	1167	1472	1419
AGIS_Os01g002070	473	302	327	535	190	135	98	132
AGIS_Os01g002080	1155	1061	1318	1314	822	462	454	510
AGIS_Os01g002090	337	337	613	404	1035	620	382	906
AGIS_Os01g002100	0	0	0	4	0	1	4	0
AGIS_Os01g002110	12	14	14	45	16	28	2	0
AGIS_Os01g002120	0	0	18	6	0	0	4	0
AGIS_Os01g002130	0	0	0	0	0	0	0	0
AGIS_Os01g002140	0	0	0	0	0	0	0	0
AGIS_Os01g002150	0	0	0	0	0	0	0	0
AGIS_Os01g002160	0	0	0	0	0	0	0	0
AGIS_Os01g002170	0	0	0	0	0	0	0	0
AGIS_Os01g002180	0	0	0	0	0	0	0	0
AGIS_Os01g002190	0	0	0	0	0	0	0	0
AGIS_Os01g002200	0	0	0	0	0	0	0	0
AGIS_Os01g002210	0	1	0	0	0	0	0	0
AGIS_Os01g002220	0	0	0	0	0	0	0	0
AGIS_Os01g002230	0	0	0	0	0	0	0	0
AGIS_Os01g002240	0	0	0	0	0	0	10	0
AGIS_Os01g002250	0	0	36	0	0	0	0	0
AGIS_Os01g002260	0	0	0	4	0	0	0	16
AGIS_Os01g002270	88	24	227	182	309	253	476	202
AGIS_Os01g002280	3006	672	5913	4779	6824	3120	6543	4128
AGIS_Os01g002290	1708	392	3537	4799	6500	1814	3996	3619
AGIS_Os01g002300	0	0	0	0	0	4	58	20
AGIS_Os01g002310	0	0	16	18	0	6	9	0
AGIS_Os01g002320	191	73	554	136	1131	591	2095	402
AGIS_Os01g002330	0	0	0	0	0	0	0	0
AGIS_Os01g002340	0	0	0	0	0	0	0	0
AGIS_Os01g002350	18	0	40	4	0	0	0	0
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	0	2	2	14	8	1	0
AGIS_Os01g002410	434	189	284	386	805	578	530	790
AGIS_Os01g002420	153	174	159	166	306	132	177	207
AGIS_Os01g002430	988	712	1267	1371	2798	1766	1455	2197
AGIS_Os01g002440	1105	972	1567	1412	925	1545	1598	1910
AGIS_Os01g002450	111	71	165	165	48	59	38	121
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	0	3	0	0	0	0	0	0
AGIS_Os01g002480	28	17	28	8	0	25	28	38
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	1288	253	1177	1278	4412	4387	2007	2872
AGIS_Os01g002540	1615	1363	1040	852	2470	2543	1777	1098
AGIS_Os01g002550	1037	792	716	809	1827	1538	510	489
AGIS_Os01g002560	835	602	1006	401	618	478	649	619
AGIS_Os01g002570	23	10	2	8	62	62	34	39
AGIS_Os01g002580	0	4	19	6	0	0	0	12
AGIS_Os01g002590	2601	815	3874	4504	5364	3779	3384	4189
AGIS_Os01g002600	833	615	874	588	504	195	375	421
AGIS_Os01g002610	221	203	372	236	111	261	113	253
