,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
36487,AGIS_Os07g041790, 2.586717e+00,-1.039860e+00, 3.215443e+00,1.146678e-01,5.036392e-01,Not_significant,3.091880e-01,6.707020e-01,0.000000e+00,1.897706e-02,1.119100e+00,4.108382e-01,5.883498e-01,4.850883e-01
36488,AGIS_Os07g041800,-7.679725e-02, 2.617604e+00, 7.956810e-02,7.857850e-01,9.409602e-01,Not_significant,8.944367e+00,8.048424e+00,3.641900e+00,5.123806e+00,6.203707e+00,5.621014e+00,5.295148e+00,5.918077e+00
36489,AGIS_Os07g041810, 6.000772e-01, 5.770058e+00, 6.159181e+00,4.103816e-02,3.205727e-01,Not_significant,2.663434e+01,4.060992e+01,5.655062e+01,5.336349e+01,7.108718e+01,6.394137e+01,6.518570e+01,5.887355e+01
36491,AGIS_Os07g041830, 1.442279e-02, 6.859996e+00, 6.581521e-03,9.375407e-01,9.835560e-01,Not_significant,1.156584e+02,1.162478e+02,9.149263e+01,1.409806e+02,1.098664e+02,1.090775e+02,1.228959e+02,1.227597e+02
36492,AGIS_Os07g041840,-1.005101e-01, 4.244966e+00, 3.555300e-01,5.691835e-01,8.649796e-01,Not_significant,1.967761e+01,1.404147e+01,2.017208e+01,2.510665e+01,1.778396e+01,1.628413e+01,1.846380e+01,1.984011e+01
36493,AGIS_Os07g041850,-4.305164e-01, 1.505965e+00, 1.855615e+00,2.140332e-01,6.407406e-01,Not_significant,3.555662e+00,2.747715e+00,2.751658e+00,3.776435e+00,2.919392e+00,2.707797e+00,2.214964e+00,1.746318e+00
36494,AGIS_Os07g041860, 2.485128e-01, 2.176639e+00, 9.665189e-01,3.572863e-01,7.585464e-01,Not_significant,4.240293e+00,4.175661e+00,4.289349e+00,3.567687e+00,6.057737e+00,5.191501e+00,3.651230e+00,4.689187e+00
36495,AGIS_Os07g041870, 2.334729e-01, 2.669391e+00, 1.284940e+00,2.931538e-01,7.153570e-01,Not_significant,4.947008e+00,6.642113e+00,5.665178e+00,5.996751e+00,5.838783e+00,7.637856e+00,7.181329e+00,6.661879e+00
36496,AGIS_Os07g041880, 7.122925e-01,-9.926792e-01, 8.219076e-01,3.938228e-01,7.773102e-01,Not_significant,3.091880e-01,4.110754e-01,2.427933e-01,3.795412e-01,3.892522e-01,3.548148e-01,9.171335e-01,6.791236e-01
36497,AGIS_Os07g041890, 1.545013e-01, 3.361773e+00, 6.893999e-01,4.329174e-01,8.003022e-01,Not_significant,9.187301e+00,8.654219e+00,1.009616e+01,1.085488e+01,1.068011e+01,1.062577e+01,1.200926e+01,9.814953e+00
36498,AGIS_Os07g041900, 2.373727e-02, 4.099598e+00, 1.744867e-02,8.985103e-01,9.734685e-01,Not_significant,1.757955e+01,1.540451e+01,1.865462e+01,1.592175e+01,1.522949e+01,2.093407e+01,1.863685e+01,1.447180e+01
36499,AGIS_Os07g041910,-1.777404e-01, 3.831064e+00, 7.770497e-01,4.063840e-01,7.847030e-01,Not_significant,1.203625e+01,1.479872e+01,1.385945e+01,1.986898e+01,1.425636e+01,1.084986e+01,1.422422e+01,1.364715e+01
36500,AGIS_Os07g041920,-1.936039e-01, 5.873136e+00, 5.541685e-01,4.801025e-01,8.256512e-01,Not_significant,6.744715e+01,6.518791e+01,3.374828e+01,8.881264e+01,4.982428e+01,4.519220e+01,5.857541e+01,5.979522e+01
36501,AGIS_Os07g041930, 7.000254e-02, 1.448250e+00, 1.817809e-02,8.964250e-01,9.727173e-01,Not_significant,2.451419e+00,1.384675e+00,3.581202e+00,2.599857e+00,1.946261e+00,5.490293e+00,1.886180e+00,2.166728e+00
36502,AGIS_Os07g041940,-1.160594e+00, 1.913109e+00, 1.662367e+01,4.391098e-03,1.059824e-01,Not_significant,6.426694e+00,5.192532e+00,3.844228e+00,5.180737e+00,1.970589e+00,2.969240e+00,2.128442e+00,2.118219e+00
36503,AGIS_Os07g041950, 5.132345e-01, 2.853139e+00, 5.085851e+00,5.755322e-02,3.735673e-01,Not_significant,5.189942e+00,6.187767e+00,4.774936e+00,7.647755e+00,8.247281e+00,6.872203e+00,9.084813e+00,9.475392e+00
36504,AGIS_Os07g041960,-9.235652e-02, 3.064472e+00, 1.855390e-01,6.792018e-01,9.078851e-01,Not_significant,7.751785e+00,8.632584e+00,1.104710e+01,7.154352e+00,8.247281e+00,8.496881e+00,7.458199e+00,7.826091e+00
36505,AGIS_Os07g041970,-9.426261e-01, 1.073527e+00, 5.008310e+00,5.905870e-02,3.778257e-01,Not_significant,4.218208e+00,1.644302e+00,2.427933e+00,2.580880e+00,1.727307e+00,1.979493e+00,8.998291e-01,1.067194e+00
36506,AGIS_Os07g041980, 6.467892e-01, 3.359042e+00, 7.029115e+00,3.192264e-02,2.863833e-01,Not_significant,5.477045e+00,6.815198e+00,1.321200e+01,7.249237e+00,9.220412e+00,1.400585e+01,1.226882e+01,1.350162e+01
36508,AGIS_Os07g042000,-1.700002e-01, 2.875029e+00, 2.647656e-01,6.222116e-01,8.880769e-01,Not_significant,8.237652e+00,1.090432e+01,3.601435e+00,9.090012e+00,5.984753e+00,6.143899e+00,7.267851e+00,7.146968e+00
36509,AGIS_Os07g042010,-8.158889e-01, 1.097326e+00, 3.914950e+00,8.703883e-02,4.469554e-01,Not_significant,7.950549e-01,2.769350e+00,3.480038e+00,3.814389e+00,8.514892e-01,8.030020e-01,2.284182e+00,1.988862e+00
36510,AGIS_Os07g042020,-3.002831e-01, 2.816735e+00, 1.595060e+00,2.457951e-01,6.727749e-01,Not_significant,7.133409e+00,8.762397e+00,8.963121e+00,6.015728e+00,4.476400e+00,6.928226e+00,6.523761e+00,7.243985e+00
