GeneID	pho2HPmock_1	phoHPmock_2	pho2HPmock_3	pho2HPmock_4	pho2HPmyc_1	pho2HPmyc_2	pho2HPmyc_3	pho2HPmyc_4
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	26	0	0	0	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	32	25	0	12	3	32	22	40
AGIS_Os01g004460	1743	1404	2050	1835	1300	1650	1742	1269
AGIS_Os01g004470	167	181	68	125	138	156	164	270
AGIS_Os01g004480	1499	1454	1863	1699	1030	1549	1677	1406
AGIS_Os01g004490	40	36	72	58	94	28	91	132
AGIS_Os01g004500	1385	2074	1550	789	1060	840	1035	1696
AGIS_Os01g004510	149	203	207	233	267	257	283	341
AGIS_Os01g004520	1758	2077	3554	4160	2062	2729	3208	2521
AGIS_Os01g004530	135	82	81	75	95	122	111	123
AGIS_Os01g004540	525	473	822	791	419	693	675	622
AGIS_Os01g004550	48	26	40	77	33	45	40	44
AGIS_Os01g004560	26	9	6	40	0	12	20	12
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	15	14	0	0	9	0	1	16
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	1747	2150	3568	2268	2529	3234	3591	3803
AGIS_Os01g004630	361	617	573	431	496	567	592	852
AGIS_Os01g004640	1012	742	980	1623	870	1061	1279	1332
AGIS_Os01g004650	186	349	548	899	367	641	632	550
AGIS_Os01g004660	235	152	262	212	234	269	231	270
AGIS_Os01g004670	73	89	121	77	147	271	250	172
AGIS_Os01g004680	60	46	13	62	30	46	38	28
